BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
    11	0.110	      -3.9	       1.7	      -0.1	       0.5	      -7.1	      -2.0	      -4.9	       4.2	      -3.4	       3.1	       2.0	       1.0	      -0.6	       4.3	      -9.3	       0.6	      -4.3	      -9.3	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.8	    -180.0	      90.0	     -18.7	     180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.2	      11.4	
    12	0.120	      -3.9	       1.7	      -0.1	       0.5	      -7.1	      -2.0	      -4.9	       4.2	      -3.4	       3.1	       1.9	       1.1	      -0.6	       4.3	      -9.3	       0.6	      -4.3	      -9.3	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	     180.0	      90.0	     -18.8	     180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.2	      11.4	
    13	0.130	      -3.9	       1.7	      -0.1	       0.5	      -7.1	      -2.0	      -4.9	       4.2	      -3.4	       3.2	       1.9	       1.1	      -0.6	       4.3	      -9.3	       0.6	      -4.3	      -9.3	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	    -180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.2	      11.4	
    14	0.140	      -3.9	       1.7	      -0.1	       0.6	      -7.1	      -2.0	      -4.9	       4.2	      -3.3	       3.2	       1.9	       1.1	      -0.6	       4.3	      -9.3	       0.6	      -4.3	      -9.3	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	    -180.0	      90.0	     -18.8	     180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.2	      11.3	
    15	0.150	      -3.9	       1.7	      -0.2	       0.6	      -7.1	      -2.0	      -4.8	       4.2	      -3.3	       3.2	       1.9	       1.1	      -0.6	       4.3	      -9.4	       0.6	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	    -180.0	      90.0	     -18.8	     180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.2	      11.3	
    16	0.160	      -3.9	       1.7	      -0.2	       0.6	      -7.1	      -2.0	      -4.8	       4.2	      -3.3	       3.2	       2.0	       1.1	      -0.6	       4.3	      -9.4	       0.6	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	     180.0	      90.0	     -18.8	     180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.3	      11.3	
    17	0.170	      -4.0	       1.7	      -0.2	       0.6	      -7.1	      -2.0	      -4.8	       4.2	      -3.3	       3.2	       1.9	       1.0	      -0.6	       4.3	      -9.4	       0.6	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	    -180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.3	      11.3	
    18	0.180	      -4.0	       1.7	      -0.2	       0.6	      -7.1	      -2.1	      -4.7	       4.2	      -3.3	       3.2	       1.9	       1.0	      -0.6	       4.3	      -9.4	       0.6	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	     180.0	      90.0	     -18.8	     180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.3	      11.3	
    19	0.190	      -4.0	       1.7	      -0.2	       0.6	      -7.1	      -2.1	      -4.7	       4.2	      -3.3	       3.2	       1.9	       1.0	      -0.5	       4.3	      -9.4	       0.5	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	    -180.0	      90.0	     -18.8	     180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.3	      11.3	
    20	0.200	      -4.0	       1.7	      -0.2	       0.6	      -7.1	      -2.1	      -4.6	       4.2	      -3.3	       3.2	       1.9	       1.0	      -0.5	       4.3	      -9.4	       0.5	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	    -180.0	      90.0	     -18.8	    -180.0	      90.0	       1.6	     -10.8	       6.3	       1.0	     -13.4	      11.3	
    21	0.210	      -4.0	       1.7	      -0.2	       0.6	      -7.1	      -2.1	      -4.6	       4.2	      -3.3	       3.2	       1.9	       1.1	      -0.5	       4.3	      -9.4	       0.5	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	    -180.0	      90.0	     -18.9	    -180.0	      90.0	       1.6	     -10.9	       6.3	       1.0	     -13.4	      11.3	
    22	0.220	      -4.0	       1.7	      -0.2	       0.6	      -7.1	      -2.1	      -4.6	       4.2	      -3.3	       3.2	       1.9	       1.1	      -0.5	       4.3	      -9.4	       0.5	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	     180.0	      90.0	     -18.9	     180.0	      90.0	       1.6	     -10.9	       6.3	       1.0	     -13.4	      11.3	
    23	0.230	      -4.0	       1.7	      -0.2	       0.7	      -7.1	      -2.1	      -4.6	       4.2	      -3.3	       3.2	       1.9	       1.1	      -0.5	       4.3	      -9.4	       0.5	      -4.3	      -9.4	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	     -23.7	    -180.0	      90.0	     -18.9	     180.0	      90.0	       1.6	     -10.9	       6.3	       1.0	     -13.4	      11.3	
