BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	22
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	
    10	0.100	  0.471672	  0.981887	  0.646204	  0.664640	  0.961125	  0.792018	  0.571997	  0.872916	  0.834083	  0.563496	  0.694232	  0.940724	  0.551664	  0.479878	  0.816386	  0.534994	  0.412667	  0.817243	  0.516516	  0.309887	  0.868073	  0.509403	  0.073286	  0.821068	  0.614261	  0.015389	  0.875096	  0.683046	  0.989376	  0.509128	  0.568073	  0.915800	  0.458128	  0.560383	  0.707561	  0.341123	  0.548695	  0.484410	  0.448502	  0.547612	  0.426368	  0.447121	  0.530986	  0.316066	  0.392795	  0.515222	  0.072643	  0.441150	  0.631377	  0.024997	  0.408584	  0.452550	  0.018198	  0.754278	  0.450804	  0.022770	  0.490214	  0.573948	  1.474955	  0.817847	  0.509313	  1.487305	  0.642410	  0.588821	  1.476923	  0.479424	
    11	0.110	  0.471650	  0.981873	  0.646183	  0.664645	  0.961144	  0.792016	  0.572097	  0.872849	  0.834084	  0.563456	  0.694222	  0.940697	  0.551641	  0.479882	  0.816369	  0.534956	  0.412675	  0.817253	  0.516505	  0.309894	  0.868054	  0.509404	  0.073282	  0.821072	  0.614286	  0.015400	  0.875102	  0.683040	  0.989376	  0.509122	  0.568096	  0.915811	  0.458095	  0.560375	  0.707585	  0.341107	  0.548706	  0.484391	  0.448503	  0.547627	  0.426368	  0.447088	  0.531035	  0.316061	  0.392802	  0.515243	  0.072634	  0.441138	  0.631414	  0.024982	  0.408618	  0.452562	  0.018196	  0.754288	  0.450766	  0.022772	  0.490205	  0.574013	  1.474931	  0.817860	  0.509363	  1.487325	  0.642451	  0.588912	  1.476931	  0.479442	
    12	0.120	  0.471591	  0.981876	  0.646143	  0.664695	  0.961142	  0.792008	  0.572143	  0.872823	  0.834080	  0.563453	  0.694205	  0.940697	  0.551611	  0.479879	  0.816361	  0.534955	  0.412668	  0.817229	  0.516467	  0.309904	  0.868036	  0.509384	  0.073265	  0.821078	  0.614305	  0.015394	  0.875088	  0.683056	  0.989364	  0.509133	  0.568106	  0.915804	  0.458072	  0.560356	  0.707587	  0.341079	  0.548720	  0.484393	  0.448502	  0.547635	  0.426373	  0.447071	  0.531088	  0.316032	  0.392800	  0.515208	  0.072615	  0.441156	  0.631440	  0.024986	  0.408604	  0.452504	  0.018206	  0.754314	  0.450767	  0.022762	  0.490208	  0.574128	  1.474902	  0.817874	  0.509470	  1.487317	  0.642487	  0.588942	  1.476947	  0.479472	
    13	0.130	  0.471519	  0.981875	  0.646128	  0.664684	  0.961131	  0.791999	  0.572089	  0.872812	  0.834044	  0.563414	  0.694175	  0.940682	  0.551566	  0.479857	  0.816364	  0.534985	  0.412669	  0.817223	  0.516443	  0.309910	  0.868032	  0.509377	  0.073262	  0.821105	  0.614270	  0.015376	  0.875111	  0.683084	  0.989384	  0.509152	  0.568065	  0.915815	  0.458039	  0.560389	  0.707562	  0.341050	  0.548752	  0.484396	  0.448485	  0.547625	  0.426350	  0.447068	  0.531102	  0.316026	  0.392798	  0.515184	  0.072608	  0.441168	  0.631402	  0.024974	  0.408591	  0.452517	  0.018182	  0.754325	  0.450734	  0.022774	  0.490207	  0.574167	  1.474868	  0.817897	  0.509517	  1.487314	  0.642522	  0.588969	  1.476977	  0.479486	
    14	0.140	  0.471521	  0.981851	  0.646104	  0.664692	  0.961102	  0.792002	  0.571664	  0.872937	  0.833957	  0.563310	  0.694184	  0.940661	  0.551558	  0.479848	  0.816353	  0.534978	  0.412667	  0.817222	  0.516426	  0.309906	  0.868018	  0.509389	  0.073256	  0.821098	  0.614263	  0.015353	  0.875112	  0.683025	  0.989364	  0.509114	  0.568043	  0.915804	  0.458030	  0.560431	  0.707542	  0.341034	  0.548751	  0.484387	  0.448469	  0.547646	  0.426339	  0.447073	  0.531092	  0.316017	  0.392782	  0.515176	  0.072599	  0.441183	  0.631404	  0.024960	  0.408598	  0.452527	  0.018177	  0.754333	  0.450678	  0.022762	  0.490214	  0.574189	  1.474849	  0.817917	  0.509532	  1.487334	  0.642520	  0.588955	  1.476993	  0.479502	
    15	0.150	  0.471493	  0.981820	  0.646054	  0.664776	  0.961126	  0.791998	  0.571181	  0.873066	  0.833873	  0.563242	  0.694223	  0.940647	  0.551552	  0.479861	  0.816345	  0.534956	  0.412669	  0.817212	  0.516430	  0.309900	  0.868007	  0.509340	  0.073232	  0.821102	  0.614261	  0.015336	  0.875090	  0.682980	  0.989354	  0.509092	  0.568006	  0.915793	  0.458025	  0.560444	  0.707511	  0.341032	  0.548791	  0.484364	  0.448462	  0.547667	  0.426333	  0.447063	  0.531081	  0.315994	  0.392776	  0.515127	  0.072583	  0.441172	  0.631384	  0.024961	  0.408621	  0.452510	  0.018185	  0.754319	  0.450686	  0.022712	  0.490224	  0.574253	  1.474805	  0.817928	  0.509612	  1.487347	  0.642542	  0.589002	  1.477005	  0.479503	
    16	0.160	  0.471413	  0.981799	  0.646014	  0.664779	  0.961155	  0.791988	  0.571389	  0.872975	  0.833912	  0.563215	  0.694234	  0.940640	  0.551534	  0.479852	  0.816337	  0.534968	  0.412660	  0.817200	  0.516414	  0.309880	  0.868021	  0.509280	  0.073217	  0.821127	  0.614237	  0.015335	  0.875094	  0.682916	  0.989342	  0.509068	  0.567915	  0.915780	  0.458004	  0.560462	  0.707488	  0.341037	  0.548826	  0.484333	  0.448466	  0.547659	  0.426317	  0.447055	  0.531062	  0.315981	  0.392770	  0.515130	  0.072570	  0.441169	  0.631337	  0.024944	  0.408607	  0.452472	  0.018203	  0.754334	  0.450723	  0.022710	  0.490232	  0.574256	  1.474789	  0.817930	  0.509590	  1.487354	  0.642570	  0.589005	  1.477018	  0.479506	
    17	0.170	  0.471369	  0.981797	  0.646002	  0.664651	  0.961149	  0.791973	  0.570703	  0.873190	  0.833772	  0.563149	  0.694231	  0.940636	  0.551569	  0.479839	  0.816346	  0.534962	  0.412646	  0.817193	  0.516372	  0.309874	  0.868044	  0.509239	  0.073228	  0.821150	  0.614219	  0.015321	  0.875092	  0.682890	  0.989344	  0.509056	  0.567996	  0.915750	  0.458015	  0.560491	  0.707477	  0.341036	  0.548807	  0.484341	  0.448456	  0.547647	  0.426280	  0.447043	  0.531068	  0.315996	  0.392780	  0.515129	  0.072552	  0.441167	  0.631314	  0.024939	  0.408596	  0.452436	  0.018190	  0.754362	  0.450661	  0.022729	  0.490234	  0.574246	  1.474791	  0.817916	  0.509565	  1.487360	  0.642572	  0.589047	  1.477010	  0.479523	
    18	0.180	  0.471395	  0.981769	  0.646005	  0.664512	  0.961162	  0.791968	  0.570463	  0.873256	  0.833742	  0.563038	  0.694220	  0.940629	  0.551576	  0.479842	  0.816358	  0.534959	  0.412632	  0.817209	  0.516373	  0.309856	  0.868033	  0.509232	  0.073222	  0.821153	  0.614204	  0.015332	  0.875107	  0.682925	  0.989360	  0.509056	  0.568022	  0.915749	  0.457986	  0.560463	  0.707470	  0.341024	  0.548772	  0.484328	  0.448453	  0.547624	  0.426259	  0.447036	  0.531045	  0.315987	  0.392788	  0.515104	  0.072542	  0.441185	  0.631315	  0.024933	  0.408625	  0.452433	  0.018160	  0.754383	  0.450678	  0.022675	  0.490246	  0.574261	  1.474784	  0.817909	  0.509523	  1.487381	  0.642550	  0.589110	  1.477037	  0.479524	
    19	0.190	  0.471271	  0.981763	  0.645970	  0.664506	  0.961152	  0.791966	  0.570302	  0.873258	  0.833701	  0.562975	  0.694211	  0.940618	  0.551529	  0.479846	  0.816354	  0.534938	  0.412608	  0.817196	  0.516317	  0.309857	  0.868014	  0.509271	  0.073201	  0.821135	  0.614170	  0.015314	  0.875100	  0.682877	  0.989349	  0.509028	  0.567972	  0.915719	  0.457956	  0.560410	  0.707456	  0.341021	  0.548736	  0.484302	  0.448465	  0.547624	  0.426258	  0.447039	  0.531020	  0.315955	  0.392774	  0.515067	  0.072527	  0.441192	  0.631283	  0.024907	  0.408632	  0.452433	  0.018146	  0.754402	  0.450730	  0.022613	  0.490255	  0.574304	  1.474762	  0.817897	  0.509523	  1.487357	  0.642558	  0.589091	  1.477032	  0.479514	
    20	0.200	  0.471186	  0.981783	  0.645933	  0.664580	  0.961169	  0.791948	  0.570170	  0.873236	  0.833655	  0.562919	  0.694198	  0.940605	  0.551448	  0.479842	  0.816334	  0.534918	  0.412616	  0.817206	  0.516272	  0.309860	  0.868001	  0.509219	  0.073193	  0.821136	  0.614131	  0.015282	  0.875101	  0.682856	  0.989345	  0.509004	  0.567921	  0.915707	  0.457942	  0.560428	  0.707443	  0.341016	  0.548694	  0.484300	  0.448481	  0.547593	  0.426247	  0.447050	  0.531035	  0.315920	  0.392774	  0.515096	  0.072497	  0.441181	  0.631236	  0.024876	  0.408639	  0.452448	  0.018110	  0.754410	  0.450735	  0.022603	  0.490293	  0.574285	  1.474740	  0.817869	  0.509464	  1.487337	  0.642572	  0.589065	  1.477028	  0.479499	
    21	0.210	  0.471192	  0.981753	  0.645954	  0.664586	  0.961188	  0.791960	  0.570214	  0.873231	  0.833664	  0.562926	  0.694180	  0.940609	  0.551398	  0.479839	  0.816329	  0.534842	  0.412643	  0.817207	  0.516252	  0.309850	  0.867991	  0.509179	  0.073195	  0.821138	  0.614105	  0.015269	  0.875108	  0.682835	  0.989342	  0.509030	  0.567886	  0.915706	  0.457933	  0.560400	  0.707434	  0.341013	  0.548678	  0.484283	  0.448492	  0.547588	  0.426235	  0.447051	  0.530988	  0.315914	  0.392787	  0.515050	  0.072484	  0.441173	  0.631196	  0.024863	  0.408618	  0.452530	  0.018063	  0.754426	  0.450768	  0.022576	  0.490305	  0.574262	  1.474741	  0.817846	  0.509486	  1.487329	  0.642554	  0.589095	  1.477035	  0.479482	
    22	0.220	  0.471169	  0.981742	  0.645958	  0.664554	  0.961205	  0.791970	  0.570202	  0.873229	  0.833651	  0.562898	  0.694167	  0.940607	  0.551407	  0.479820	  0.816329	  0.534837	  0.412617	  0.817197	  0.516231	  0.309828	  0.867973	  0.509152	  0.073188	  0.821164	  0.614091	  0.015273	  0.875113	  0.682827	  0.989329	  0.509058	  0.567901	  0.915701	  0.457941	  0.560392	  0.707428	  0.341002	  0.548677	  0.484289	  0.448487	  0.547568	  0.426221	  0.447042	  0.530983	  0.315911	  0.392770	  0.515039	  0.072475	  0.441163	  0.631162	  0.024878	  0.408632	  0.452531	  0.018055	  0.754437	  0.450761	  0.022529	  0.490294	  0.574246	  1.474753	  0.817835	  0.509481	  1.487327	  0.642534	  0.589079	  1.477032	  0.479456	
    23	0.230	  0.471191	  0.981730	  0.645947	  0.664562	  0.961210	  0.791940	  0.570060	  0.873233	  0.833638	  0.562870	  0.694178	  0.940608	  0.551414	  0.479814	  0.816323	  0.534810	  0.412597	  0.817180	  0.516174	  0.309824	  0.867965	  0.509088	  0.073164	  0.821185	  0.614072	  0.015258	  0.875109	  0.682863	  0.989339	  0.509070	  0.567927	  0.915685	  0.457947	  0.560385	  0.707422	  0.340997	  0.548645	  0.484284	  0.448481	  0.547528	  0.426219	  0.447036	  0.530947	  0.315912	  0.392776	  0.515014	  0.072460	  0.441183	  0.631153	  0.024896	  0.408649	  0.452509	  0.018053	  0.754445	  0.450718	  0.022506	  0.490289	  0.574188	  1.474764	  0.817784	  0.509443	  1.487315	  0.642505	  0.589022	  1.477012	  0.479413	
