BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	22
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	
    10	0.100	 -1.338521	  0.962202	  0.644238	 -1.143800	  0.941152	  0.799365	 -1.245019	  0.855732	  0.840969	 -1.249007	  0.671450	  0.945362	 -1.256064	  0.459883	  0.815175	 -1.269815	  0.391596	  0.815597	 -1.284902	  0.287731	  0.865217	 -1.298324	  0.051608	  0.811812	 -1.191303	  0.000800	  0.854944	 -1.114659	  0.961310	  0.518452	 -1.229788	  0.884445	  0.466228	 -1.232507	  0.665646	  0.364874	 -1.248954	  0.452386	  0.489823	 -1.254292	  0.394201	  0.492334	 -1.271381	  0.280159	  0.445785	 -1.305691	  0.044046	  0.511234	 -1.192953	  0.004467	  0.481705	 -1.362083	 -0.004727	  0.753726	 -1.372715	 -0.004533	  0.563683	 -1.234756	  1.450787	  0.823185	 -1.299536	  1.466898	  0.644851	 -1.214488	  1.450361	  0.481329	
    11	0.110	 -1.338503	  0.962214	  0.644305	 -1.143673	  0.941178	  0.799386	 -1.244931	  0.855680	  0.841056	 -1.249077	  0.671413	  0.945248	 -1.256009	  0.459882	  0.815238	 -1.269748	  0.391620	  0.815591	 -1.284857	  0.287729	  0.865235	 -1.298320	  0.051627	  0.811801	 -1.191243	  0.000783	  0.854991	 -1.114641	  0.961267	  0.518469	 -1.229780	  0.884450	  0.466277	 -1.232548	  0.665713	  0.364894	 -1.248940	  0.452409	  0.489829	 -1.254241	  0.394180	  0.492381	 -1.271245	  0.280120	  0.445768	 -1.305691	  0.044049	  0.511215	 -1.193011	  0.004493	  0.481650	 -1.362045	 -0.004729	  0.753729	 -1.372694	 -0.004542	  0.563678	 -1.234695	  1.450757	  0.823221	 -1.299489	  1.466912	  0.644921	 -1.214487	  1.450346	  0.481384	
    12	0.120	 -1.338490	  0.962239	  0.644364	 -1.143555	  0.941147	  0.799423	 -1.244901	  0.855663	  0.841150	 -1.248720	  0.671342	  0.945497	 -1.256019	  0.459879	  0.815270	 -1.269663	  0.391582	  0.815661	 -1.284801	  0.287697	  0.865261	 -1.298331	  0.051619	  0.811774	 -1.191200	  0.000797	  0.854981	 -1.114664	  0.961231	  0.518483	 -1.229761	  0.884472	  0.466362	 -1.232429	  0.665662	  0.364916	 -1.248825	  0.452360	  0.489874	 -1.254187	  0.394177	  0.492397	 -1.271166	  0.280113	  0.445806	 -1.305673	  0.044002	  0.511230	 -1.192969	  0.004501	  0.481666	 -1.362043	 -0.004715	  0.753749	 -1.372701	 -0.004529	  0.563677	 -1.234704	  1.450769	  0.823278	 -1.299438	  1.466941	  0.644987	 -1.214566	  1.450350	  0.481435	
    13	0.130	 -1.338465	  0.962244	  0.644455	 -1.143522	  0.941136	  0.799476	 -1.244959	  0.855663	  0.841231	 -1.248583	  0.671304	  0.945594	 -1.256017	  0.459864	  0.815278	 -1.269616	  0.391580	  0.815706	 -1.284745	  0.287658	  0.865299	 -1.298289	  0.051582	  0.811794	 -1.191132	  0.000794	  0.854941	 -1.114705	  0.961167	  0.518519	 -1.229770	  0.884515	  0.466444	 -1.232385	  0.665665	  0.364939	 -1.248753	  0.452329	  0.489897	 -1.254119	  0.394168	  0.492398	 -1.271134	  0.280116	  0.445862	 -1.305689	  0.044001	  0.511240	 -1.192889	  0.004441	  0.481707	 -1.362036	 -0.004721	  0.753752	 -1.372718	 -0.004493	  0.563675	 -1.234671	  1.450801	  0.823302	 -1.299372	  1.466946	  0.645052	 -1.214501	  1.450328	  0.481500	
    14	0.140	 -1.338443	  0.962249	  0.644534	 -1.143389	  0.941131	  0.799513	 -1.244930	  0.855664	  0.841264	 -1.248529	  0.671278	  0.945653	 -1.255960	  0.459852	  0.815332	 -1.269493	  0.391541	  0.815719	 -1.284706	  0.287638	  0.865306	 -1.298228	  0.051536	  0.811799	 -1.191087	  0.000810	  0.854941	 -1.114690	  0.961108	  0.518579	 -1.229774	  0.884543	  0.466516	 -1.232375	  0.665689	  0.364958	 -1.248811	  0.452371	  0.489968	 -1.254066	  0.394192	  0.492406	 -1.271149	  0.280110	  0.445930	 -1.305676	  0.044032	  0.511212	 -1.192885	  0.004419	  0.481723	 -1.362026	 -0.004717	  0.753748	 -1.372694	 -0.004467	  0.563668	 -1.234614	  1.450793	  0.823330	 -1.299393	  1.466957	  0.645122	 -1.214498	  1.450291	  0.481548	
    15	0.150	 -1.338420	  0.962251	  0.644612	 -1.143353	  0.941137	  0.799569	 -1.244794	  0.855589	  0.841294	 -1.248443	  0.671240	  0.945696	 -1.255874	  0.459838	  0.815397	 -1.269495	  0.391525	  0.815795	 -1.284683	  0.287605	  0.865340	 -1.298168	  0.051482	  0.811832	 -1.191017	  0.000781	  0.854961	 -1.114651	  0.961078	  0.518625	 -1.229780	  0.884567	  0.466593	 -1.232417	  0.665728	  0.364994	 -1.248838	  0.452388	  0.490019	 -1.254016	  0.394189	  0.492473	 -1.271108	  0.280130	  0.445907	 -1.305694	  0.044065	  0.511210	 -1.192843	  0.004359	  0.481774	 -1.362055	 -0.004715	  0.753754	 -1.372691	 -0.004480	  0.563673	 -1.234559	  1.450773	  0.823371	 -1.299385	  1.466958	  0.645202	 -1.214497	  1.450267	  0.481595	
    16	0.160	 -1.338406	  0.962232	  0.644691	 -1.143224	  0.941138	  0.799587	 -1.244639	  0.855506	  0.841346	 -1.248307	  0.671182	  0.945795	 -1.255822	  0.459819	  0.815439	 -1.269516	  0.391525	  0.815853	 -1.284667	  0.287623	  0.865364	 -1.298103	  0.051430	  0.811854	 -1.190990	  0.000738	  0.854976	 -1.114656	  0.961035	  0.518619	 -1.229755	  0.884564	  0.466653	 -1.232350	  0.665682	  0.365025	 -1.248824	  0.452388	  0.490037	 -1.254037	  0.394193	  0.492551	 -1.271046	  0.280089	  0.445960	 -1.305465	  0.044009	  0.511443	 -1.192748	  0.004288	  0.481803	 -1.362043	 -0.004711	  0.753755	 -1.372682	 -0.004481	  0.563682	 -1.234541	  1.450752	  0.823433	 -1.299354	  1.466959	  0.645281	 -1.214462	  1.450222	  0.481688	
    17	0.170	 -1.338390	  0.962220	  0.644784	 -1.143105	  0.941116	  0.799616	 -1.244513	  0.855438	  0.841425	 -1.248123	  0.671060	  0.945914	 -1.255812	  0.459800	  0.815452	 -1.269478	  0.391532	  0.815853	 -1.284594	  0.287574	  0.865361	 -1.298103	  0.051422	  0.811852	 -1.190910	  0.000703	  0.854955	 -1.114692	  0.961047	  0.518642	 -1.229742	  0.884547	  0.466725	 -1.232262	  0.665635	  0.365068	 -1.248738	  0.452315	  0.490098	 -1.253997	  0.394147	  0.492586	 -1.271037	  0.280069	  0.446007	 -1.305228	  0.043934	  0.511708	 -1.192799	  0.004296	  0.481749	 -1.362032	 -0.004705	  0.753753	 -1.372661	 -0.004473	  0.563697	 -1.234527	  1.450747	  0.823499	 -1.299319	  1.466944	  0.645365	 -1.214482	  1.450171	  0.481771	
    18	0.180	 -1.338361	  0.962218	  0.644870	 -1.143069	  0.941100	  0.799666	 -1.244518	  0.855409	  0.841544	 -1.247994	  0.670979	  0.945976	 -1.255741	  0.459772	  0.815541	 -1.269490	  0.391536	  0.815894	 -1.284567	  0.287522	  0.865399	 -1.298089	  0.051388	  0.811873	 -1.191030	  0.000749	  0.854955	 -1.114751	  0.961066	  0.518673	 -1.229798	  0.884576	  0.466772	 -1.232366	  0.665703	  0.365108	 -1.248752	  0.452298	  0.490164	 -1.254005	  0.394123	  0.492608	 -1.271017	  0.280061	  0.446012	 -1.305558	  0.044018	  0.511360	 -1.192834	  0.004287	  0.481772	 -1.362044	 -0.004702	  0.753767	 -1.372661	 -0.004481	  0.563715	 -1.234536	  1.450733	  0.823553	 -1.299323	  1.466936	  0.645441	 -1.214534	  1.450148	  0.481816	
    19	0.190	 -1.338321	  0.962204	  0.644966	 -1.143051	  0.941088	  0.799708	 -1.244489	  0.855389	  0.841594	 -1.247896	  0.670921	  0.946036	 -1.255744	  0.459759	  0.815602	 -1.269394	  0.391457	  0.815933	 -1.284554	  0.287494	  0.865458	 -1.298078	  0.051362	  0.811905	 -1.191152	  0.000785	  0.854869	 -1.114795	  0.961044	  0.518712	 -1.229843	  0.884592	  0.466833	 -1.231961	  0.665517	  0.365298	 -1.248816	  0.452294	  0.490228	 -1.254075	  0.394159	  0.492628	 -1.270968	  0.280013	  0.446053	 -1.305633	  0.044058	  0.511281	 -1.192696	  0.004166	  0.481821	 -1.362026	 -0.004714	  0.753776	 -1.372680	 -0.004483	  0.563719	 -1.234530	  1.450744	  0.823605	 -1.299324	  1.466921	  0.645519	 -1.214638	  1.450114	  0.481892	
    20	0.200	 -1.338293	  0.962196	  0.645054	 -1.142971	  0.941027	  0.799744	 -1.244459	  0.855385	  0.841634	 -1.247772	  0.670867	  0.946087	 -1.255772	  0.459725	  0.815623	 -1.269328	  0.391389	  0.815965	 -1.284533	  0.287474	  0.865483	 -1.298093	  0.051357	  0.811889	 -1.191059	  0.000752	  0.854858	 -1.114841	  0.961044	  0.518741	 -1.229867	  0.884583	  0.466897	 -1.231439	  0.665229	  0.365546	 -1.248748	  0.452253	  0.490235	 -1.254069	  0.394154	  0.492658	 -1.271010	  0.280014	  0.446111	 -1.305712	  0.044109	  0.511262	 -1.192722	  0.004182	  0.481753	 -1.361984	 -0.004765	  0.753781	 -1.372693	 -0.004497	  0.563714	 -1.234509	  1.450747	  0.823670	 -1.299294	  1.466897	  0.645613	 -1.214630	  1.450063	  0.481996	
    21	0.210	 -1.338275	  0.962183	  0.645146	 -1.142856	  0.941007	  0.799747	 -1.244370	  0.855331	  0.841727	 -1.247793	  0.670895	  0.946118	 -1.255728	  0.459692	  0.815623	 -1.269336	  0.391385	  0.815974	 -1.284502	  0.287441	  0.865483	 -1.298087	  0.051307	  0.811866	 -1.190981	  0.000690	  0.854958	 -1.114842	  0.961035	  0.518752	 -1.229852	  0.884559	  0.466964	 -1.232216	  0.665616	  0.365315	 -1.248778	  0.452278	  0.490253	 -1.254145	  0.394199	  0.492694	 -1.271062	  0.280046	  0.446111	 -1.305698	  0.044053	  0.511264	 -1.192778	  0.004223	  0.481735	 -1.362002	 -0.004783	  0.753776	 -1.372711	 -0.004517	  0.563721	 -1.234490	  1.450725	  0.823717	 -1.299275	  1.466873	  0.645690	 -1.214628	  1.450027	  0.482093	
    22	0.220	 -1.338285	  0.962193	  0.645250	 -1.142884	  0.941012	  0.799796	 -1.244305	  0.855283	  0.841818	 -1.247706	  0.670810	  0.946201	 -1.255718	  0.459694	  0.815668	 -1.269437	  0.391416	  0.816030	 -1.284501	  0.287427	  0.865499	 -1.298062	  0.051267	  0.811881	 -1.191050	  0.000683	  0.854949	 -1.114837	  0.961033	  0.518767	 -1.229876	  0.884545	  0.467045	 -1.232503	  0.665734	  0.365299	 -1.248823	  0.452280	  0.490282	 -1.254116	  0.394165	  0.492677	 -1.271077	  0.280035	  0.446167	 -1.305749	  0.044081	  0.511279	 -1.192771	  0.004206	  0.481739	 -1.362020	 -0.004779	  0.753793	 -1.372689	 -0.004539	  0.563729	 -1.234489	  1.450720	  0.823757	 -1.299233	  1.466853	  0.645771	 -1.214653	  1.450002	  0.482144	
