BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	41
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	 MIDASIS.X	 MIDASIS.Y	 MIDASIS.Z	l asis 2.X	l asis 2.Y	l asis 2.Z	r asis 2.X	r asis 2.Y	r asis 2.Z	      RA.X	      RA.Y	      RA.Z	      RT.X	      RT.Y	      RT.Z	      RK.X	      RK.Y	      RK.Z	    RCCG.X	    RCCG.Y	    RCCG.Z	      PO.X	      PO.Y	      PO.Z	     SHO.X	     SHO.Y	     SHO.Z	     RHP.X	     RHP.Y	     RHP.Z	    RTCG.X	    RTCG.Y	    RTCG.Z	     LHP.X	     LHP.Y	     LHP.Z	      LK.X	      LK.Y	      LK.Z	    LTCG.X	    LTCG.Y	    LTCG.Z	      LA.X	      LA.Y	      LA.Z	    LCCG.X	    LCCG.Y	    LCCG.Z	      LT.X	      LT.Y	      LT.Z	    RFCG.X	    RFCG.Y	    RFCG.Z	    LFCG.X	    LFCG.Y	    LFCG.Z	
   100	1.000	  0.469073	  0.981766	  0.645409	  0.662823	  0.961544	  0.792147	  0.567576	  0.873459	  0.833386	  0.560833	  0.694337	  0.940507	  0.550288	  0.479948	  0.816280	  0.533527	  0.412665	  0.816990	  0.515245	  0.309866	  0.867846	  0.509050	  0.073200	  0.821162	  0.614062	  0.015320	  0.875129	  0.681932	  0.989761	  0.509621	  0.566749	  0.915736	  0.457967	  0.559919	  0.707379	  0.340974	  0.547804	  0.484292	  0.448484	  0.546961	  0.426178	  0.447031	  0.530421	  0.315918	  0.392702	  0.514989	  0.072412	  0.441123	  0.631242	  0.024951	  0.408655	  0.452471	  0.018014	  0.754436	  0.450648	  0.022455	  0.490195	  0.570043	  1.475159	  0.817124	  0.505379	  1.487099	  0.641625	  0.585465	  1.476763	  0.478931	  0.672378	  0.975652	  0.650884	  0.681779	  0.989534	  0.511891	  0.662976	  0.961771	  0.789876	  0.518598	  0.071972	  0.777204	  0.623611	  0.014091	  0.831170	  0.549854	  0.482355	  0.761334	  0.537196	  0.316150	  0.767761	  0.672378	  0.975652	  0.650884	  0.577754	  1.475961	  0.648027	  0.585749	  0.861692	  0.735754	  0.569417	  0.689094	  0.747393	  0.591614	  0.881446	  0.539993	  0.546619	  0.483136	  0.503459	  0.571141	  0.700215	  0.523370	  0.520472	  0.071171	  0.485771	  0.536030	  0.316290	  0.496295	  0.636726	  0.023710	  0.453303	  0.528115	  0.016280	  0.788353	  0.532895	  0.023010	  0.473889	
   101	1.010	  0.469017	  0.981783	  0.645402	  0.662867	  0.961561	  0.792144	  0.567605	  0.873497	  0.833404	  0.560862	  0.694353	  0.940510	  0.550308	  0.479952	  0.816275	  0.533547	  0.412660	  0.816995	  0.515231	  0.309877	  0.867854	  0.509069	  0.073204	  0.821167	  0.614060	  0.015304	  0.875118	  0.681922	  0.989772	  0.509635	  0.566797	  0.915721	  0.457937	  0.559938	  0.707386	  0.340952	  0.547881	  0.484291	  0.448467	  0.546957	  0.426192	  0.447044	  0.530415	  0.315917	  0.392682	  0.515037	  0.072401	  0.441121	  0.631214	  0.024970	  0.408634	  0.452452	  0.017995	  0.754435	  0.450688	  0.022463	  0.490173	  0.569902	  1.475164	  0.817142	  0.505312	  1.487077	  0.641650	  0.585447	  1.476779	  0.478963	  0.672394	  0.975667	  0.650889	  0.681769	  0.989546	  0.511895	  0.663019	  0.961787	  0.789884	  0.518646	  0.071973	  0.777216	  0.623638	  0.014073	  0.831166	  0.549872	  0.482363	  0.761330	  0.537226	  0.316155	  0.767764	  0.672394	  0.975667	  0.650889	  0.577674	  1.475972	  0.648053	  0.585760	  0.861709	  0.735758	  0.569431	  0.689106	  0.747393	  0.591636	  0.881458	  0.539997	  0.546716	  0.483135	  0.503443	  0.571198	  0.700221	  0.523365	  0.520532	  0.071158	  0.485767	  0.536112	  0.316284	  0.496284	  0.636709	  0.023726	  0.453280	  0.528116	  0.016262	  0.788350	  0.532909	  0.023021	  0.473866	
   102	1.020	  0.469108	  0.981770	  0.645409	  0.662761	  0.961550	  0.792149	  0.567608	  0.873510	  0.833384	  0.560958	  0.694340	  0.940519	  0.550294	  0.479957	  0.816269	  0.533559	  0.412669	  0.816976	  0.515244	  0.309867	  0.867849	  0.509036	  0.073221	  0.821160	  0.614102	  0.015326	  0.875099	  0.681928	  0.989794	  0.509650	  0.566855	  0.915714	  0.457943	  0.559908	  0.707388	  0.340944	  0.547910	  0.484302	  0.448470	  0.546969	  0.426191	  0.447020	  0.530435	  0.315929	  0.392690	  0.515038	  0.072402	  0.441106	  0.631209	  0.025000	  0.408611	  0.452498	  0.017975	  0.754437	  0.450767	  0.022441	  0.490165	  0.569805	  1.475171	  0.817146	  0.505245	  1.487067	  0.641669	  0.585368	  1.476790	  0.478971	  0.672345	  0.975672	  0.650899	  0.681775	  0.989568	  0.511910	  0.662914	  0.961776	  0.789889	  0.518598	  0.071988	  0.777205	  0.623664	  0.014094	  0.831144	  0.549810	  0.482368	  0.761324	  0.537169	  0.316164	  0.767756	  0.672345	  0.975672	  0.650899	  0.577587	  1.475981	  0.648059	  0.585716	  0.861698	  0.735751	  0.569379	  0.689103	  0.747387	  0.591597	  0.881471	  0.539992	  0.546783	  0.483144	  0.503446	  0.571207	  0.700232	  0.523363	  0.520528	  0.071160	  0.485752	  0.536150	  0.316291	  0.496280	  0.636699	  0.023758	  0.453258	  0.528153	  0.016259	  0.788341	  0.532949	  0.023024	  0.473852	
   103	1.030	  0.469181	  0.981746	  0.645419	  0.662749	  0.961561	  0.792158	  0.567598	  0.873486	  0.833365	  0.561013	  0.694333	  0.940522	  0.550310	  0.479962	  0.816254	  0.533588	  0.412664	  0.816983	  0.515249	  0.309861	  0.867826	  0.509044	  0.073235	  0.821139	  0.614068	  0.015344	  0.875078	  0.681859	  0.989809	  0.509621	  0.566887	  0.915723	  0.457938	  0.559868	  0.707392	  0.340941	  0.547878	  0.484311	  0.448454	  0.546981	  0.426172	  0.447006	  0.530472	  0.315930	  0.392698	  0.515030	  0.072420	  0.441101	  0.631232	  0.025029	  0.408627	  0.452532	  0.017974	  0.754421	  0.450799	  0.022434	  0.490163	  0.569774	  1.475151	  0.817163	  0.505183	  1.487051	  0.641641	  0.585256	  1.476804	  0.478978	  0.672304	  0.975685	  0.650889	  0.681705	  0.989581	  0.511898	  0.662903	  0.961788	  0.789880	  0.518625	  0.072004	  0.777188	  0.623649	  0.014113	  0.831127	  0.549801	  0.482373	  0.761310	  0.537174	  0.316174	  0.767740	  0.672304	  0.975685	  0.650889	  0.577515	  1.475978	  0.648070	  0.585701	  0.861697	  0.735749	  0.569367	  0.689104	  0.747379	  0.591563	  0.881469	  0.539990	  0.546770	  0.483152	  0.503431	  0.571182	  0.700235	  0.523355	  0.520496	  0.071181	  0.485751	  0.536129	  0.316303	  0.496270	  0.636699	  0.023790	  0.453277	  0.528165	  0.016268	  0.788325	  0.532966	  0.023033	  0.473859	
   104	1.040	  0.469166	  0.981731	  0.645422	  0.662816	  0.961608	  0.792143	  0.567653	  0.873465	  0.833364	  0.561014	  0.694315	  0.940511	  0.550381	  0.479954	  0.816257	  0.533631	  0.412647	  0.816970	  0.515269	  0.309864	  0.867816	  0.509094	  0.073248	  0.821122	  0.614110	  0.015355	  0.875094	  0.681875	  0.989816	  0.509631	  0.566900	  0.915729	  0.457948	  0.559826	  0.707402	  0.340929	  0.547882	  0.484317	  0.448436	  0.546998	  0.426187	  0.447014	  0.530425	  0.315940	  0.392695	  0.514990	  0.072445	  0.441099	  0.631197	  0.025014	  0.408610	  0.452596	  0.017960	  0.754387	  0.450737	  0.022472	  0.490167	  0.569759	  1.475127	  0.817167	  0.505128	  1.487038	  0.641672	  0.585178	  1.476811	  0.478990	  0.672345	  0.975712	  0.650887	  0.681722	  0.989590	  0.511893	  0.662969	  0.961834	  0.789882	  0.518695	  0.072016	  0.777175	  0.623711	  0.014123	  0.831147	  0.549900	  0.482364	  0.761311	  0.537262	  0.316173	  0.767736	  0.672345	  0.975712	  0.650887	  0.577469	  1.475969	  0.648078	  0.585770	  0.861719	  0.735767	  0.569449	  0.689112	  0.747390	  0.591620	  0.881463	  0.540005	  0.546798	  0.483153	  0.503413	  0.571226	  0.700232	  0.523355	  0.520493	  0.071201	  0.485744	  0.536145	  0.316312	  0.496257	  0.636700	  0.023769	  0.453255	  0.528229	  0.016264	  0.788315	  0.532933	  0.023046	  0.473852	
   105	1.050	  0.469169	  0.981719	  0.645438	  0.662843	  0.961620	  0.792117	  0.567664	  0.873479	  0.833373	  0.561041	  0.694291	  0.940482	  0.550408	  0.479938	  0.816261	  0.533655	  0.412645	  0.816959	  0.515267	  0.309874	  0.867810	  0.509093	  0.073233	  0.821104	  0.614063	  0.015363	  0.875077	  0.681814	  0.989823	  0.509626	  0.566869	  0.915752	  0.457967	  0.559852	  0.707412	  0.340916	  0.547867	  0.484325	  0.448473	  0.547017	  0.426171	  0.447016	  0.530415	  0.315962	  0.392698	  0.514975	  0.072461	  0.441087	  0.631234	  0.025010	  0.408616	  0.452600	  0.017976	  0.754378	  0.450660	  0.022499	  0.490160	  0.569705	  1.475118	  0.817171	  0.505058	  1.487023	  0.641675	  0.585080	  1.476816	  0.478994	  0.672328	  0.975721	  0.650871	  0.681663	  0.989598	  0.511874	  0.662994	  0.961844	  0.789869	  0.518710	  0.072000	  0.777161	  0.623680	  0.014130	  0.831134	  0.549923	  0.482349	  0.761316	  0.537282	  0.316158	  0.767733	  0.672328	  0.975721	  0.650871	  0.577393	  1.475967	  0.648082	  0.585778	  0.861721	  0.735767	  0.569464	  0.689106	  0.747392	  0.591596	  0.881461	  0.540003	  0.546760	  0.483164	  0.503450	  0.571195	  0.700236	  0.523371	  0.520495	  0.071213	  0.485730	  0.536123	  0.316324	  0.496273	  0.636755	  0.023761	  0.453258	  0.528217	  0.016276	  0.788304	  0.532914	  0.023057	  0.473850	
   106	1.060	  0.469117	  0.981728	  0.645424	  0.662844	  0.961620	  0.792129	  0.567676	  0.873480	  0.833388	  0.561076	  0.694294	  0.940474	  0.550405	  0.479941	  0.816248	  0.533674	  0.412675	  0.816970	  0.515265	  0.309887	  0.867816	  0.509132	  0.073248	  0.821105	  0.614088	  0.015355	  0.875070	  0.681784	  0.989847	  0.509627	  0.566845	  0.915748	  0.457950	  0.559904	  0.707408	  0.340907	  0.547875	  0.484334	  0.448468	  0.547022	  0.426173	  0.447015	  0.530417	  0.315976	  0.392682	  0.515005	  0.072462	  0.441098	  0.631264	  0.025026	  0.408621	  0.452564	  0.018015	  0.754368	  0.450642	  0.022515	  0.490127	  0.569648	  1.475131	  0.817185	  0.504976	  1.487026	  0.641657	  0.585009	  1.476819	  0.478995	  0.672314	  0.975734	  0.650878	  0.681633	  0.989622	  0.511880	  0.662995	  0.961845	  0.789875	  0.518771	  0.072016	  0.777166	  0.623727	  0.014123	  0.831132	  0.549906	  0.482356	  0.761303	  0.537296	  0.316168	  0.767728	  0.672314	  0.975734	  0.650878	  0.577328	  1.475975	  0.648090	  0.585757	  0.861725	  0.735756	  0.569445	  0.689112	  0.747380	  0.591594	  0.881480	  0.539994	  0.546738	  0.483176	  0.503444	  0.571185	  0.700252	  0.523364	  0.520534	  0.071215	  0.485740	  0.536125	  0.316331	  0.496274	  0.636792	  0.023779	  0.453263	  0.528218	  0.016295	  0.788298	  0.532920	  0.023073	  0.473833	
   107	1.070	  0.469126	  0.981723	  0.645428	  0.662898	  0.961598	  0.792128	  0.567680	  0.873493	  0.833400	  0.561090	  0.694306	  0.940486	  0.550431	  0.479959	  0.816247	  0.533706	  0.412679	  0.816968	  0.515279	  0.309884	  0.867828	  0.509161	  0.073266	  0.821100	  0.614137	  0.015373	  0.875081	  0.681749	  0.989841	  0.509613	  0.566880	  0.915730	  0.457951	  0.559941	  0.707397	  0.340915	  0.547889	  0.484347	  0.448457	  0.547027	  0.426193	  0.447038	  0.530471	  0.315974	  0.392681	  0.515056	  0.072478	  0.441107	  0.631315	  0.025038	  0.408612	  0.452593	  0.017980	  0.754367	  0.450646	  0.022521	  0.490116	  0.569592	  1.475142	  0.817165	  0.504915	  1.487032	  0.641641	  0.584946	  1.476819	  0.478982	  0.672324	  0.975719	  0.650871	  0.681598	  0.989615	  0.511871	  0.663049	  0.961823	  0.789870	  0.518811	  0.072033	  0.777165	  0.623787	  0.014141	  0.831145	  0.549931	  0.482376	  0.761303	  0.537328	  0.316187	  0.767727	  0.672324	  0.975719	  0.650871	  0.577269	  1.475981	  0.648074	  0.585767	  0.861710	  0.735749	  0.569462	  0.689113	  0.747376	  0.591594	  0.881475	  0.539987	  0.546746	  0.483188	  0.503433	  0.571188	  0.700254	  0.523355	  0.520552	  0.071232	  0.485752	  0.536137	  0.316346	  0.496272	  0.636811	  0.023793	  0.453258	  0.528260	  0.016283	  0.788303	  0.532931	  0.023083	  0.473825	
   108	1.080	  0.469116	  0.981723	  0.645455	  0.662947	  0.961589	  0.792116	  0.567712	  0.873502	  0.833415	  0.561115	  0.694306	  0.940489	  0.550452	  0.479954	  0.816262	  0.533745	  0.412664	  0.816984	  0.515288	  0.309872	  0.867826	  0.509181	  0.073274	  0.821080	  0.614155	  0.015371	  0.875074	  0.681683	  0.989845	  0.509595	  0.566878	  0.915742	  0.457948	  0.559929	  0.707394	  0.340911	  0.547866	  0.484350	  0.448476	  0.547039	  0.426205	  0.447042	  0.530500	  0.315961	  0.392689	  0.515077	  0.072475	  0.441097	  0.631320	  0.025034	  0.408603	  0.452625	  0.017969	  0.754348	  0.450732	  0.022494	  0.490135	  0.569583	  1.475156	  0.817161	  0.504910	  1.487007	  0.641671	  0.584898	  1.476820	  0.478976	  0.672315	  0.975717	  0.650855	  0.681533	  0.989619	  0.511852	  0.663097	  0.961815	  0.789858	  0.518852	  0.072044	  0.777149	  0.623827	  0.014141	  0.831143	  0.549953	  0.482370	  0.761317	  0.537357	  0.316188	  0.767729	  0.672315	  0.975717	  0.650855	  0.577241	  1.475988	  0.648069	  0.585774	  0.861705	  0.735747	  0.569476	  0.689108	  0.747381	  0.591561	  0.881477	  0.539985	  0.546723	  0.483193	  0.503452	  0.571160	  0.700258	  0.523362	  0.520561	  0.071229	  0.485744	  0.536127	  0.316347	  0.496280	  0.636804	  0.023788	  0.453250	  0.528296	  0.016277	  0.788291	  0.532976	  0.023066	  0.473832	
   109	1.090	  0.469092	  0.981716	  0.645448	  0.662923	  0.961595	  0.792119	  0.567725	  0.873518	  0.833413	  0.561147	  0.694312	  0.940499	  0.550446	  0.479945	  0.816262	  0.533769	  0.412664	  0.816971	  0.515288	  0.309875	  0.867828	  0.509167	  0.073281	  0.821081	  0.614126	  0.015366	  0.875065	  0.681743	  0.989859	  0.509625	  0.566895	  0.915750	  0.457955	  0.559967	  0.707394	  0.340937	  0.547887	  0.484353	  0.448486	  0.547035	  0.426196	  0.447052	  0.530528	  0.315950	  0.392707	  0.515045	  0.072478	  0.441085	  0.631277	  0.025017	  0.408591	  0.452521	  0.018005	  0.754377	  0.450821	  0.022472	  0.490146	  0.569533	  1.475145	  0.817172	  0.504883	  1.486968	  0.641681	  0.584826	  1.476814	  0.478987	  0.672333	  0.975727	  0.650872	  0.681593	  0.989635	  0.511872	  0.663072	  0.961820	  0.789871	  0.518847	  0.072047	  0.777152	  0.623807	  0.014132	  0.831136	  0.549934	  0.482362	  0.761317	  0.537344	  0.316184	  0.767730	  0.672333	  0.975727	  0.650872	  0.577179	  1.475979	  0.648079	  0.585793	  0.861705	  0.735749	  0.569477	  0.689104	  0.747383	  0.591600	  0.881485	  0.539989	  0.546734	  0.483198	  0.503462	  0.571186	  0.700264	  0.523369	  0.520495	  0.071232	  0.485736	  0.536108	  0.316351	  0.496283	  0.636728	  0.023771	  0.453242	  0.528230	  0.016293	  0.788305	  0.532992	  0.023046	  0.473835	
   110	1.100	  0.469077	  0.981704	  0.645449	  0.662843	  0.961584	  0.792121	  0.567722	  0.873517	  0.833408	  0.561175	  0.694338	  0.940491	  0.550459	  0.479941	  0.816250	  0.533799	  0.412674	  0.816959	  0.515315	  0.309869	  0.867818	  0.509131	  0.073274	  0.821084	  0.614126	  0.015375	  0.875069	  0.681811	  0.989844	  0.509650	  0.566903	  0.915736	  0.457974	  0.559957	  0.707384	  0.340948	  0.547930	  0.484328	  0.448484	  0.547019	  0.426189	  0.447054	  0.530518	  0.315961	  0.392743	  0.515077	  0.072465	  0.441104	  0.631263	  0.025000	  0.408594	  0.452537	  0.017993	  0.754390	  0.450774	  0.022502	  0.490138	  0.569481	  1.475142	  0.817169	  0.504777	  1.486965	  0.641654	  0.584776	  1.476807	  0.478988	  0.672327	  0.975714	  0.650885	  0.681660	  0.989620	  0.511891	  0.662993	  0.961808	  0.789880	  0.518797	  0.072037	  0.777152	  0.623791	  0.014138	  0.831136	  0.549937	  0.482360	  0.761305	  0.537325	  0.316179	  0.767723	  0.672327	  0.975714	  0.650885	  0.577129	  1.475975	  0.648078	  0.585782	  0.861691	  0.735757	  0.569472	  0.689095	  0.747382	  0.591600	  0.881472	  0.539997	  0.546795	  0.483168	  0.503460	  0.571214	  0.700244	  0.523373	  0.520540	  0.071220	  0.485754	  0.536162	  0.316329	  0.496289	  0.636726	  0.023756	  0.453243	  0.528231	  0.016289	  0.788312	  0.532965	  0.023056	  0.473830	
   111	1.110	  0.469112	  0.981688	  0.645452	  0.662892	  0.961579	  0.792103	  0.567731	  0.873496	  0.833400	  0.561217	  0.694326	  0.940505	  0.550480	  0.479933	  0.816229	  0.533810	  0.412676	  0.816954	  0.515367	  0.309877	  0.867792	  0.509192	  0.073265	  0.821079	  0.614168	  0.015366	  0.875064	  0.681797	  0.989843	  0.509640	  0.566869	  0.915748	  0.457978	  0.559910	  0.707386	  0.340963	  0.547991	  0.484306	  0.448487	  0.547060	  0.426207	  0.447052	  0.530514	  0.315967	  0.392741	  0.515128	  0.072467	  0.441122	  0.631304	  0.025000	  0.408597	  0.452573	  0.017987	  0.754366	  0.450704	  0.022541	  0.490133	  0.569419	  1.475147	  0.817164	  0.504746	  1.486982	  0.641651	  0.584725	  1.476804	  0.478976	  0.672344	  0.975711	  0.650871	  0.681647	  0.989620	  0.511875	  0.663041	  0.961803	  0.789868	  0.518840	  0.072031	  0.777143	  0.623816	  0.014132	  0.831127	  0.549945	  0.482353	  0.761285	  0.537347	  0.316173	  0.767707	  0.672344	  0.975711	  0.650871	  0.577072	  1.475975	  0.648070	  0.585813	  0.861682	  0.735749	  0.569493	  0.689088	  0.747368	  0.591615	  0.881466	  0.539989	  0.546885	  0.483145	  0.503463	  0.571263	  0.700230	  0.523370	  0.520631	  0.071222	  0.485767	  0.536252	  0.316316	  0.496296	  0.636807	  0.023755	  0.453242	  0.528262	  0.016283	  0.788294	  0.532962	  0.023078	  0.473827	
   112	1.120	  0.469080	  0.981680	  0.645454	  0.662849	  0.961580	  0.792087	  0.567682	  0.873482	  0.833395	  0.561205	  0.694284	  0.940506	  0.550499	  0.479925	  0.816216	  0.533808	  0.412656	  0.816965	  0.515346	  0.309867	  0.867784	  0.509226	  0.073272	  0.821066	  0.614181	  0.015354	  0.875082	  0.681744	  0.989838	  0.509633	  0.566836	  0.915732	  0.457989	  0.559918	  0.707401	  0.340955	  0.548023	  0.484301	  0.448500	  0.547098	  0.426207	  0.447055	  0.530499	  0.315948	  0.392725	  0.515155	  0.072471	  0.441121	  0.631365	  0.024999	  0.408607	  0.452584	  0.018003	  0.754350	  0.450733	  0.022532	  0.490143	  0.569362	  1.475160	  0.817166	  0.504684	  1.487002	  0.641656	  0.584657	  1.476802	  0.478977	  0.672296	  0.975709	  0.650860	  0.681595	  0.989615	  0.511863	  0.662998	  0.961803	  0.789857	  0.518902	  0.072040	  0.777136	  0.623857	  0.014122	  0.831152	  0.549960	  0.482347	  0.761272	  0.537382	  0.316173	  0.767697	  0.672296	  0.975709	  0.650860	  0.577010	  1.475981	  0.648071	  0.585773	  0.861680	  0.735745	  0.569478	  0.689083	  0.747360	  0.591562	  0.881459	  0.539984	  0.546913	  0.483141	  0.503477	  0.571247	  0.700224	  0.523373	  0.520695	  0.071222	  0.485761	  0.536295	  0.316313	  0.496302	  0.636905	  0.023750	  0.453248	  0.528287	  0.016288	  0.788296	  0.533021	  0.023070	  0.473835	
   113	1.130	  0.469063	  0.981675	  0.645469	  0.662802	  0.961556	  0.792092	  0.567721	  0.873471	  0.833425	  0.561224	  0.694247	  0.940513	  0.550471	  0.479920	  0.816220	  0.533830	  0.412652	  0.816956	  0.515303	  0.309861	  0.867786	  0.509211	  0.073259	  0.821078	  0.614201	  0.015350	  0.875075	  0.681747	  0.989856	  0.509647	  0.566776	  0.915727	  0.457996	  0.559906	  0.707385	  0.340958	  0.547975	  0.484306	  0.448508	  0.547085	  0.426212	  0.447070	  0.530533	  0.315936	  0.392754	  0.515121	  0.072477	  0.441117	  0.631336	  0.024994	  0.408597	  0.452536	  0.018036	  0.754357	  0.450694	  0.022548	  0.490149	  0.569345	  1.475160	  0.817182	  0.504654	  1.487006	  0.641661	  0.584601	  1.476780	  0.479007	  0.672274	  0.975706	  0.650870	  0.681597	  0.989633	  0.511877	  0.662951	  0.961780	  0.789863	  0.518930	  0.072020	  0.777158	  0.623921	  0.014112	  0.831155	  0.549927	  0.482346	  0.761276	  0.537373	  0.316164	  0.767708	  0.672274	  0.975706	  0.650870	  0.576973	  1.475970	  0.648095	  0.585755	  0.861662	  0.735739	  0.569453	  0.689073	  0.747359	  0.591539	  0.881472	  0.539981	  0.546843	  0.483146	  0.503484	  0.571203	  0.700234	  0.523375	  0.520617	  0.071229	  0.485763	  0.536222	  0.316320	  0.496307	  0.636832	  0.023746	  0.453243	  0.528288	  0.016302	  0.788302	  0.532967	  0.023078	  0.473837	
   114	1.140	  0.469040	  0.981691	  0.645490	  0.662827	  0.961556	  0.792099	  0.567745	  0.873448	  0.833444	  0.561198	  0.694256	  0.940526	  0.550444	  0.479918	  0.816243	  0.533816	  0.412645	  0.816965	  0.515302	  0.309863	  0.867791	  0.509270	  0.073255	  0.821089	  0.614166	  0.015337	  0.875068	  0.681738	  0.989871	  0.509662	  0.566735	  0.915739	  0.458010	  0.559906	  0.707382	  0.340969	  0.547988	  0.484307	  0.448505	  0.547091	  0.426193	  0.447082	  0.530517	  0.315935	  0.392765	  0.515125	  0.072467	  0.441104	  0.631373	  0.025000	  0.408621	  0.452542	  0.018023	  0.754362	  0.450802	  0.022506	  0.490150	  0.569296	  1.475155	  0.817178	  0.504718	  1.486994	  0.641673	  0.584636	  1.476765	  0.479009	  0.672282	  0.975714	  0.650881	  0.681589	  0.989648	  0.511887	  0.662976	  0.961780	  0.789874	  0.518999	  0.072018	  0.777171	  0.623896	  0.014100	  0.831150	  0.549913	  0.482343	  0.761299	  0.537393	  0.316162	  0.767727	  0.672282	  0.975714	  0.650881	  0.576966	  1.475960	  0.648094	  0.585763	  0.861668	  0.735748	  0.569451	  0.689075	  0.747374	  0.591538	  0.881489	  0.539991	  0.546849	  0.483145	  0.503481	  0.571204	  0.700243	  0.523379	  0.520640	  0.071214	  0.485748	  0.536234	  0.316313	  0.496299	  0.636888	  0.023747	  0.453264	  0.528281	  0.016289	  0.788302	  0.533052	  0.023055	  0.473846	
   115	1.150	  0.469023	  0.981685	  0.645492	  0.662830	  0.961558	  0.792096	  0.567684	  0.873468	  0.833433	  0.561140	  0.694272	  0.940521	  0.550447	  0.479905	  0.816270	  0.533786	  0.412639	  0.817001	  0.515336	  0.309864	  0.867810	  0.509305	  0.073238	  0.821083	  0.614172	  0.015321	  0.875073	  0.681717	  0.989882	  0.509684	  0.566703	  0.915741	  0.458021	  0.559897	  0.707389	  0.340979	  0.548013	  0.484299	  0.448506	  0.547053	  0.426194	  0.447090	  0.530508	  0.315944	  0.392776	  0.515177	  0.072448	  0.441099	  0.631353	  0.024986	  0.408618	  0.452548	  0.018016	  0.754367	  0.450886	  0.022469	  0.490166	  0.569237	  1.475173	  0.817172	  0.504682	  1.487009	  0.641684	  0.584578	  1.476746	  0.479005	  0.672273	  0.975720	  0.650890	  0.681569	  0.989660	  0.511896	  0.662977	  0.961780	  0.789884	  0.519000	  0.072010	  0.777157	  0.623867	  0.014094	  0.831147	  0.549928	  0.482324	  0.761326	  0.537402	  0.316147	  0.767737	  0.672273	  0.975720	  0.650890	  0.576907	  1.475960	  0.648088	  0.585758	  0.861666	  0.735750	  0.569455	  0.689065	  0.747387	  0.591539	  0.881494	  0.539994	  0.546878	  0.483136	  0.503482	  0.571218	  0.700241	  0.523381	  0.520694	  0.071195	  0.485742	  0.536273	  0.316300	  0.496297	  0.636869	  0.023733	  0.453261	  0.528271	  0.016282	  0.788304	  0.533091	  0.023028	  0.473854	
   116	1.160	  0.469036	  0.981664	  0.645530	  0.662949	  0.961565	  0.792110	  0.567664	  0.873487	  0.833443	  0.561117	  0.694269	  0.940513	  0.550509	  0.479902	  0.816270	  0.533821	  0.412633	  0.816991	  0.515338	  0.309846	  0.867818	  0.509296	  0.073203	  0.821085	  0.614202	  0.015302	  0.875082	  0.681774	  0.989872	  0.509704	  0.566622	  0.915745	  0.458029	  0.559858	  0.707374	  0.340975	  0.548036	  0.484291	  0.448530	  0.547081	  0.426189	  0.447080	  0.530541	  0.315928	  0.392802	  0.515164	  0.072430	  0.441103	  0.631307	  0.024958	  0.408600	  0.452555	  0.018038	  0.754385	  0.450854	  0.022483	  0.490180	  0.569258	  1.475169	  0.817177	  0.504636	  1.486999	  0.641704	  0.584527	  1.476730	  0.479002	  0.672361	  0.975719	  0.650907	  0.681627	  0.989651	  0.511910	  0.663096	  0.961787	  0.789904	  0.519003	  0.071972	  0.777162	  0.623910	  0.014070	  0.831159	  0.550009	  0.482321	  0.761325	  0.537452	  0.316130	  0.767739	  0.672361	  0.975719	  0.650907	  0.576893	  1.475950	  0.648089	  0.585868	  0.861662	  0.735785	  0.569552	  0.689062	  0.747406	  0.591624	  0.881477	  0.540027	  0.546904	  0.483130	  0.503506	  0.571277	  0.700229	  0.523410	  0.520669	  0.071179	  0.485748	  0.536279	  0.316290	  0.496314	  0.636811	  0.023707	  0.453245	  0.528294	  0.016284	  0.788319	  0.533047	  0.023024	  0.473855	
