BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	63
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	  sacrum.X	  sacrum.Y	  sacrum.Z	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	 r bar 1.X	 r bar 1.Y	 r bar 1.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	r knee 2.X	r knee 2.Y	r knee 2.Z	 r bar 2.X	 r bar 2.Y	 r bar 2.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	 l bar 1.X	 l bar 1.Y	 l bar 1.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	l knee 2.X	l knee 2.Y	l knee 2.Z	 l bar 2.X	 l bar 2.Y	 l bar 2.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	      c7.X	      c7.Y	      c7.Z	l should.X	l should.Y	l should.Z	l should s.X	l should s.Y	l should s.Z	l asis s.X	l asis s.Y	l asis s.Z	l thigh s.X	l thigh s.Y	l thigh s.Z	l bar 1 s.X	l bar 1 s.Y	l bar 1 s.Z	l knee 1 s.X	l knee 1 s.Y	l knee 1 s.Z	l knee 2 s.X	l knee 2 s.Y	l knee 2 s.Z	l bar 2 s.X	l bar 2 s.Y	l bar 2 s.Z	l mall s.X	l mall s.Y	l mall s.Z	 l met s.X	 l met s.Y	 l met s.Z	    C7 s.X	    C7 s.Y	    C7 s.Z	sacrum s.X	sacrum s.Y	sacrum s.Z	r should s.X	r should s.Y	r should s.Z	r asis s.X	r asis s.Y	r asis s.Z	r thigh s.X	r thigh s.Y	r thigh s.Z	r bar 1 s.X	r bar 1 s.Y	r bar 1 s.Z	r knee 1 s.X	r knee 1 s.Y	r knee 1 s.Z	r knee 2 s.X	r knee 2 s.Y	r knee 2 s.Z	r bar 2 s.X	r bar 2 s.Y	r bar 2 s.Z	r mall s.X	r mall s.Y	r mall s.Z	 r met s.X	 r met s.Y	 r met s.Z	     SHO.X	     SHO.Y	     SHO.Z	 MIDASIS.X	 MIDASIS.Y	 MIDASIS.Z	r asis s2.X	r asis s2.Y	r asis s2.Z	l asis s2.X	l asis s2.Y	l asis s2.Z	      RA.X	      RA.Y	      RA.Z	      RT.X	      RT.Y	      RT.Z	    RFCG.X	    RFCG.Y	    RFCG.Z	      RK.X	      RK.Y	      RK.Z	    RCCG.X	    RCCG.Y	    RCCG.Z	      PO.X	      PO.Y	      PO.Z	     RHP.X	     RHP.Y	     RHP.Z	    RTCG.X	    RTCG.Y	    RTCG.Z	     LHP.X	     LHP.Y	     LHP.Z	      LK.X	      LK.Y	      LK.Z	    LTCG.X	    LTCG.Y	    LTCG.Z	      LA.X	      LA.Y	      LA.Z	    LCCG.X	    LCCG.Y	    LCCG.Z	      LT.X	      LT.Y	      LT.Z	    LFCG.X	    LFCG.Y	    LFCG.Z	r heel s.X	r heel s.Y	r heel s.Z	l heel s.X	l heel s.Y	l heel s.Z	
   144	1.440	 -1.325807	  0.959844	  0.607247	 -1.129482	  0.941084	  0.760556	 -1.229845	  0.857444	  0.807667	 -1.224189	  0.680562	  0.918873	 -1.218272	  0.461020	  0.804095	 -1.234028	  0.392006	  0.807465	 -1.260642	  0.290162	  0.858500	 -1.296563	  0.057179	  0.811342	 -1.191309	  0.001314	  0.854762	 -1.103250	  0.949019	  0.478479	 -1.216869	  0.876314	  0.430840	 -1.209469	  0.650917	  0.339263	 -1.224775	  0.444606	  0.472428	 -1.233630	  0.386696	  0.477812	 -1.253692	  0.271071	  0.435432	 -1.304526	  0.041414	  0.509368	 -1.194649	  0.006094	  0.482999	 -1.360892	 -0.000288	  0.753061	 -1.374399	 -0.006756	  0.561318	 -1.169965	  1.453041	  0.760346	 -1.238498	  1.468756	  0.582989	 -1.162796	  1.434839	  0.418336	   -1.162372	    1.434750	    0.418474	 -1.104668	  0.949372	  0.478121	  -1.216740	   0.876327	   0.430849	  -1.209121	   0.650848	   0.339599	   -1.224811	    0.444676	    0.472460	   -1.233554	    0.386629	    0.477916	  -1.253650	   0.271085	   0.435506	 -1.304519	  0.041420	  0.509376	 -1.194570	  0.006085	  0.483028	 -1.238307	  1.468784	  0.583091	 -1.325782	  0.959866	  0.607285	   -1.170125	    1.452994	    0.760524	 -1.129259	  0.941132	  0.760519	  -1.229854	   0.857538	   0.807837	  -1.223590	   0.680474	   0.918843	   -1.217302	    0.461181	    0.803996	   -1.233263	    0.392260	    0.807611	  -1.260223	   0.290476	   0.858430	 -1.296100	  0.057522	  0.811367	 -1.191386	  0.001560	  0.854726	 -1.166248	  1.443872	  0.589499	 -1.116963	  0.945252	  0.619320	  -1.129259	   0.941132	   0.760519	  -1.104668	   0.949372	   0.478121	 -1.289398	  0.055765	  0.766904	 -1.184684	 -0.000197	  0.810263	 -1.243114	  0.031030	  0.786068	 -1.217638	  0.461703	  0.748999	 -1.246701	  0.297298	  0.756251	 -1.116963	  0.945252	  0.619320	 -1.210614	  0.841050	  0.709130	 -1.213810	  0.668447	  0.727271	 -1.198869	  0.847145	  0.512733	 -1.230468	  0.450030	  0.526906	 -1.213246	  0.666458	  0.519181	 -1.306706	  0.045945	  0.554095	 -1.261344	  0.286376	  0.537917	 -1.196757	  0.010610	  0.527746	 -1.258109	  0.030327	  0.542449	 -1.360823	  0.000419	  0.752711	 -1.374378	 -0.006743	  0.561320	
   145	1.450	 -1.324843	  0.959953	  0.606399	 -1.128320	  0.941170	  0.759399	 -1.228823	  0.857688	  0.807075	 -1.221235	  0.681182	  0.918152	 -1.213265	  0.461227	  0.804262	 -1.229264	  0.392187	  0.807846	 -1.257412	  0.290540	  0.858580	 -1.295907	  0.058087	  0.811026	 -1.191170	  0.001717	  0.854554	 -1.104231	  0.948911	  0.476526	 -1.216075	  0.876100	  0.430192	 -1.209112	  0.650760	  0.338724	 -1.224442	  0.444583	  0.471808	 -1.232958	  0.386472	  0.477532	 -1.253304	  0.270902	  0.434992	 -1.304581	  0.041377	  0.509279	 -1.194605	  0.006124	  0.483001	 -1.360668	  0.001248	  0.752580	 -1.374425	 -0.006791	  0.561281	 -1.167154	  1.453278	  0.758717	 -1.235846	  1.468722	  0.581088	 -1.160027	  1.434222	  0.416596	   -1.159808	    1.434158	    0.416662	 -1.104134	  0.948978	  0.476883	  -1.215924	   0.876071	   0.430201	  -1.208882	   0.650746	   0.338947	   -1.224421	    0.444574	    0.471921	   -1.233182	    0.386510	    0.477440	  -1.253262	   0.270929	   0.435101	 -1.304554	  0.041370	  0.509306	 -1.194595	  0.006117	  0.483023	 -1.235642	  1.468766	  0.581221	 -1.324836	  0.959969	  0.606432	   -1.167362	    1.453092	    0.758686	 -1.128225	  0.941276	  0.759423	  -1.228685	   0.857761	   0.807238	  -1.220567	   0.681020	   0.918197	   -1.212198	    0.461383	    0.804090	   -1.228516	    0.392474	    0.807934	  -1.256995	   0.290974	   0.858482	 -1.295541	  0.058609	  0.810996	 -1.191336	  0.001993	  0.854457	 -1.163585	  1.443625	  0.587674	 -1.116180	  0.945127	  0.618153	  -1.128225	   0.941276	   0.759423	  -1.104134	   0.948978	   0.476883	 -1.288642	  0.056816	  0.766564	 -1.184438	  0.000201	  0.810025	 -1.242584	  0.031792	  0.785774	 -1.212591	  0.461803	  0.749093	 -1.243392	  0.297783	  0.756169	 -1.116180	  0.945127	  0.618153	 -1.209818	  0.841206	  0.708302	 -1.211080	  0.668578	  0.726862	 -1.198377	  0.846928	  0.511875	 -1.229899	  0.449948	  0.526383	 -1.212719	  0.666302	  0.518476	 -1.306855	  0.045974	  0.554010	 -1.261066	  0.286338	  0.537572	 -1.196896	  0.010720	  0.527727	 -1.258253	  0.030392	  0.542393	 -1.360497	  0.002063	  0.752131	 -1.374421	 -0.006760	  0.561282	
   146	1.460	 -1.323924	  0.960080	  0.605578	 -1.127045	  0.941341	  0.758146	 -1.227648	  0.857944	  0.806571	 -1.218125	  0.681781	  0.917492	 -1.207808	  0.461499	  0.804314	 -1.224240	  0.392550	  0.808224	 -1.253982	  0.291199	  0.858675	 -1.295010	  0.059181	  0.810670	 -1.191201	  0.002285	  0.854356	 -1.104365	  0.948684	  0.475206	 -1.215216	  0.875844	  0.429560	 -1.208654	  0.650614	  0.338238	 -1.224080	  0.444511	  0.471306	 -1.232289	  0.386159	  0.477239	 -1.252842	  0.270751	  0.434616	 -1.304620	  0.041334	  0.509220	 -1.194605	  0.006154	  0.483021	 -1.360399	  0.003194	  0.751829	 -1.374453	 -0.006801	  0.561239	 -1.164832	  1.453202	  0.756790	 -1.233080	  1.468705	  0.579242	 -1.157264	  1.433538	  0.414778	   -1.157115	    1.433579	    0.414919	 -1.103363	  0.948559	  0.475809	  -1.215039	   0.875814	   0.429570	  -1.208559	   0.650637	   0.338391	   -1.224020	    0.444473	    0.471419	   -1.232880	    0.386404	    0.476945	  -1.252856	   0.270780	   0.434733	 -1.304583	  0.041325	  0.509244	 -1.194590	  0.006142	  0.483038	 -1.232884	  1.468768	  0.579414	 -1.323873	  0.960078	  0.605604	   -1.164593	    1.453187	    0.756926	 -1.127182	  0.941457	  0.758382	  -1.227453	   0.858022	   0.806710	  -1.217155	   0.681475	   0.917562	   -1.206544	    0.461684	    0.804164	   -1.223352	    0.392818	    0.808295	  -1.253521	   0.291673	   0.858481	 -1.294825	  0.059952	  0.810557	 -1.191314	  0.002574	  0.854136	 -1.160854	  1.443383	  0.585922	 -1.115273	  0.945008	  0.617095	  -1.127182	   0.941457	   0.758382	  -1.103363	   0.948559	   0.475809	 -1.287640	  0.058107	  0.766173	 -1.184129	  0.000730	  0.809752	 -1.241888	  0.032746	  0.785435	 -1.207045	  0.462011	  0.749168	 -1.239686	  0.298430	  0.756055	 -1.115273	  0.945008	  0.617095	 -1.208926	  0.841382	  0.707567	 -1.208070	  0.668768	  0.726495	 -1.197721	  0.846697	  0.511115	 -1.229343	  0.449869	  0.525895	 -1.212109	  0.666140	  0.517840	 -1.307052	  0.046020	  0.553930	 -1.260815	  0.286310	  0.537249	 -1.197060	  0.010838	  0.527724	 -1.258435	  0.030470	  0.542347	 -1.360062	  0.004090	  0.751350	 -1.374459	 -0.006764	  0.561247	
   147	1.470	 -1.322935	  0.960189	  0.604729	 -1.125937	  0.941566	  0.757065	 -1.226392	  0.858232	  0.806135	 -1.214415	  0.682129	  0.916896	 -1.201768	  0.461852	  0.804114	 -1.218841	  0.392996	  0.808663	 -1.250383	  0.292035	  0.858611	 -1.294111	  0.060696	  0.810244	 -1.191200	  0.002895	  0.853942	 -1.103956	  0.948428	  0.474217	 -1.214227	  0.875578	  0.428891	 -1.208181	  0.650509	  0.337798	 -1.223642	  0.444395	  0.470852	 -1.232594	  0.386345	  0.476382	 -1.252435	  0.270624	  0.434305	 -1.304602	  0.041270	  0.509174	 -1.194575	  0.006163	  0.483075	 -1.359976	  0.005703	  0.750836	 -1.374498	 -0.006779	  0.561208	 -1.162060	  1.453243	  0.754990	 -1.230269	  1.468743	  0.577501	 -1.154556	  1.432756	  0.412928	   -1.154281	    1.433021	    0.413260	 -1.102317	  0.948108	  0.474903	  -1.214088	   0.875554	   0.428960	  -1.208158	   0.650519	   0.337926	   -1.223605	    0.444369	    0.470958	   -1.232672	    0.386329	    0.476423	  -1.252450	   0.270642	   0.434406	 -1.304603	  0.041282	  0.509191	 -1.194573	  0.006162	  0.483061	 -1.230017	  1.468797	  0.577678	 -1.322881	  0.960185	  0.604807	   -1.161770	    1.453288	    0.755256	 -1.126146	  0.941688	  0.757423	  -1.226139	   0.858321	   0.806244	  -1.213273	   0.681847	   0.916944	   -1.200315	    0.462090	    0.804216	   -1.217754	    0.393300	    0.808668	  -1.249797	   0.292600	   0.858403	 -1.293929	  0.061595	  0.810033	 -1.191286	  0.003328	  0.853754	 -1.158026	  1.443155	  0.584258	 -1.114232	  0.944898	  0.616163	  -1.126146	   0.941688	   0.757423	  -1.102317	   0.948108	   0.474903	 -1.286357	  0.059674	  0.765716	 -1.183714	  0.001407	  0.809437	 -1.240989	  0.033920	  0.785041	 -1.201003	  0.462327	  0.749221	 -1.235571	  0.299252	  0.755902	 -1.114232	  0.944898	  0.616163	 -1.207929	  0.841583	  0.706945	 -1.204778	  0.669021	  0.726180	 -1.196879	  0.846444	  0.510472	 -1.228793	  0.449791	  0.525444	 -1.211400	  0.665967	  0.517285	 -1.307296	  0.046085	  0.553853	 -1.260587	  0.286290	  0.536950	 -1.197266	  0.010964	  0.527723	 -1.258663	  0.030562	  0.542303	 -1.359447	  0.006512	  0.750346	 -1.374494	 -0.006757	  0.561216	
   148	1.480	 -1.321935	  0.960313	  0.603915	 -1.124980	  0.941843	  0.756262	 -1.225048	  0.858586	  0.805787	 -1.210057	  0.682211	  0.916352	 -1.194782	  0.462295	  0.804029	 -1.212639	  0.393603	  0.809155	 -1.246430	  0.293212	  0.858434	 -1.293338	  0.062876	  0.809776	 -1.191439	  0.003763	  0.853425	 -1.102694	  0.948018	  0.473588	 -1.213171	  0.875300	  0.428271	 -1.207739	  0.650396	  0.337434	 -1.223267	  0.444317	  0.470469	 -1.232561	  0.386299	  0.475785	 -1.252031	  0.270513	  0.434062	 -1.304631	  0.041231	  0.509135	 -1.194563	  0.006179	  0.483089	 -1.359123	  0.008505	  0.749655	 -1.374527	 -0.006757	  0.561180	 -1.158927	  1.453193	  0.753322	 -1.227308	  1.468789	  0.575864	 -1.151765	  1.432411	  0.411473	   -1.151287	    1.432514	    0.411704	 -1.100989	  0.947625	  0.474155	  -1.213080	   0.875287	   0.428384	  -1.207691	   0.650385	   0.337541	   -1.223179	    0.444261	    0.470539	   -1.232503	    0.386266	    0.475914	  -1.252055	   0.270514	   0.434122	 -1.304618	  0.041244	  0.509146	 -1.194552	  0.006178	  0.483083	 -1.227024	  1.468855	  0.576020	 -1.321852	  0.960285	  0.604052	   -1.158867	    1.453397	    0.753690	 -1.125126	  0.941976	  0.756564	  -1.224718	   0.858656	   0.805824	  -1.208870	   0.682172	   0.916351	   -1.193520	    0.462602	    0.804263	   -1.211708	    0.393927	    0.809020	  -1.245798	   0.293767	   0.858239	 -1.292828	  0.063576	  0.809407	 -1.191209	  0.004282	  0.853304	 -1.155077	  1.442956	  0.582697	 -1.113057	  0.944800	  0.615359	  -1.125126	   0.941976	   0.756564	  -1.100989	   0.947625	   0.474155	 -1.284773	  0.061547	  0.765180	 -1.183155	  0.002253	  0.809077	 -1.239858	  0.035339	  0.784583	 -1.194493	  0.462743	  0.749271	 -1.231057	  0.300258	  0.755714	 -1.113057	  0.944800	  0.615359	 -1.206819	  0.841811	  0.706444	 -1.201211	  0.669335	  0.725931	 -1.195855	  0.846165	  0.509955	 -1.228249	  0.449710	  0.525033	 -1.210594	  0.665778	  0.516816	 -1.307546	  0.046156	  0.553781	 -1.260364	  0.286270	  0.536676	 -1.197480	  0.011089	  0.527719	 -1.258897	  0.030656	  0.542262	 -1.358578	  0.009301	  0.749108	 -1.374526	 -0.006742	  0.561190	
   149	1.490	 -1.320932	  0.960433	  0.603207	 -1.124227	  0.942210	  0.755658	 -1.223439	  0.858990	  0.805446	 -1.205187	  0.682321	  0.915750	 -1.186989	  0.462956	  0.804330	 -1.206057	  0.394444	  0.809557	 -1.242109	  0.294687	  0.858166	 -1.292381	  0.065505	  0.809021	 -1.191570	  0.004912	  0.852840	 -1.099943	  0.947190	  0.473364	 -1.212049	  0.875012	  0.427715	 -1.207279	  0.650294	  0.337132	 -1.222769	  0.444156	  0.470114	 -1.232494	  0.386225	  0.475283	 -1.251629	  0.270389	  0.433837	 -1.304636	  0.041188	  0.509099	 -1.194537	  0.006218	  0.483105	 -1.358204	  0.011808	  0.748110	 -1.374569	 -0.006713	  0.561149	 -1.156016	  1.453360	  0.751946	 -1.224212	  1.468858	  0.574307	 -1.148605	  1.431984	  0.410104	   -1.148121	    1.432056	    0.410247	 -1.099342	  0.947094	  0.473549	  -1.212032	   0.875016	   0.427859	  -1.207164	   0.650224	   0.337210	   -1.222741	    0.444145	    0.470160	   -1.232338	    0.386210	    0.475432	  -1.251685	   0.270397	   0.433873	 -1.304626	  0.041210	  0.509111	 -1.194530	  0.006191	  0.483106	 -1.223900	  1.468938	  0.574442	 -1.320774	  0.960378	  0.603357	   -1.155882	    1.453524	    0.752240	 -1.124117	  0.942332	  0.755797	  -1.223155	   0.859021	   0.805433	  -1.203937	   0.682502	   0.915787	   -1.186240	    0.463230	    0.804317	   -1.205252	    0.394697	    0.809319	  -1.241497	   0.295163	   0.857983	 -1.291453	  0.065867	  0.808645	 -1.190966	  0.005440	  0.852778	 -1.152001	  1.442790	  0.581243	 -1.111729	  0.944713	  0.614673	  -1.124117	   0.942332	   0.755797	  -1.099342	   0.947094	   0.473549	 -1.282855	  0.063704	  0.764527	 -1.182368	  0.003276	  0.808660	 -1.238440	  0.036995	  0.784034	 -1.187608	  0.463257	  0.749334	 -1.226183	  0.301438	  0.755487	 -1.111729	  0.944713	  0.614673	 -1.205564	  0.842072	  0.706074	 -1.197394	  0.669711	  0.725758	 -1.194644	  0.845853	  0.509571	 -1.227709	  0.449619	  0.524660	 -1.209689	  0.665566	  0.516437	 -1.307772	  0.046224	  0.553720	 -1.260135	  0.286244	  0.536429	 -1.197676	  0.011205	  0.527715	 -1.259110	  0.030746	  0.542225	 -1.357386	  0.012415	  0.747642	 -1.374554	 -0.006722	  0.561171	
   150	1.500	 -1.319815	  0.960497	  0.602564	 -1.123324	  0.942612	  0.755106	 -1.221698	  0.859380	  0.805047	 -1.199610	  0.682514	  0.915125	 -1.178974	  0.463832	  0.804529	 -1.199081	  0.395341	  0.809811	 -1.237559	  0.296437	  0.857793	 -1.290573	  0.067961	  0.808063	 -1.191311	  0.006409	  0.852297	 -1.095846	  0.946069	  0.473613	 -1.210971	  0.874725	  0.427236	 -1.206775	  0.650179	  0.336862	 -1.222167	  0.443962	  0.469716	 -1.232342	  0.386149	  0.474815	 -1.251202	  0.270242	  0.433603	 -1.304644	  0.041171	  0.509056	 -1.194484	  0.006210	  0.483126	 -1.356926	  0.015558	  0.746313	 -1.374603	 -0.006685	  0.561132	 -1.153255	  1.453795	  0.750765	 -1.220950	  1.469002	  0.572775	 -1.145051	  1.431559	  0.408746	   -1.144781	    1.431651	    0.408887	 -1.097466	  0.946539	  0.473041	  -1.210965	   0.874749	   0.427394	  -1.206589	   0.650026	   0.336916	   -1.222301	    0.444028	    0.469807	   -1.232151	    0.386159	    0.474983	  -1.251346	   0.270288	   0.433649	 -1.304628	  0.041181	  0.509083	 -1.194513	  0.006199	  0.483127	 -1.220645	  1.469042	  0.572944	 -1.319627	  0.960462	  0.602729	   -1.152790	    1.453666	    0.750904	 -1.123100	  0.942765	  0.755097	  -1.221433	   0.859404	   0.805060	  -1.198518	   0.682885	   0.915259	   -1.178607	    0.463976	    0.804371	   -1.198444	    0.395596	    0.809540	  -1.236867	   0.296750	   0.857640	 -1.289705	  0.068390	  0.807707	 -1.190395	  0.006808	  0.852191	 -1.148786	  1.442659	  0.579895	 -1.110283	  0.944652	  0.614069	  -1.123100	   0.942765	   0.755097	  -1.097466	   0.946539	   0.473041	 -1.280538	  0.066080	  0.763711	 -1.181229	  0.004497	  0.808195	 -1.236643	  0.038860	  0.783373	 -1.180484	  0.463868	  0.749403	 -1.221006	  0.302764	  0.755198	 -1.110283	  0.944652	  0.614069	 -1.204176	  0.842373	  0.705816	 -1.193396	  0.670153	  0.725648	 -1.193293	  0.845521	  0.509299	 -1.227187	  0.449524	  0.524313	 -1.208715	  0.665342	  0.516131	 -1.307953	  0.046287	  0.553668	 -1.259897	  0.286213	  0.536202	 -1.197838	  0.011304	  0.527713	 -1.259282	  0.030825	  0.542196	 -1.355765	  0.015766	  0.745982	 -1.374579	 -0.006699	  0.561159	
   151	1.510	 -1.318571	  0.960516	  0.601997	 -1.122172	  0.943085	  0.754470	 -1.219940	  0.859791	  0.804677	 -1.193291	  0.682946	  0.914576	 -1.170660	  0.464672	  0.804548	 -1.191653	  0.396387	  0.809888	 -1.232688	  0.298378	  0.857381	 -1.288383	  0.070697	  0.806947	 -1.190642	  0.008145	  0.851752	 -1.094459	  0.945664	  0.472910	 -1.209857	  0.874445	  0.426842	 -1.206176	  0.649999	  0.336606	 -1.221834	  0.443887	  0.469487	 -1.232118	  0.386118	  0.474508	 -1.250916	  0.270147	  0.433423	 -1.304618	  0.041145	  0.509044	 -1.194470	  0.006193	  0.483146	 -1.354830	  0.019248	  0.744360	 -1.374612	 -0.006668	  0.561142	 -1.149955	  1.453982	  0.749559	 -1.217463	  1.469176	  0.571348	 -1.141481	  1.431175	  0.407397	   -1.141267	    1.431297	    0.407631	 -1.095678	  0.946031	  0.472507	  -1.209893	   0.874489	   0.426997	  -1.205981	   0.649790	   0.336646	   -1.221881	    0.443924	    0.469473	   -1.231906	    0.386109	    0.474582	  -1.251046	   0.270187	   0.433443	 -1.304626	  0.041157	  0.509063	 -1.194502	  0.006201	  0.483143	 -1.217266	  1.469157	  0.571529	 -1.318396	  0.960542	  0.602181	   -1.149569	    1.453802	    0.749677	 -1.122027	  0.943264	  0.754439	  -1.219540	   0.859803	   0.804710	  -1.192715	   0.683374	   0.914772	   -1.170752	    0.464829	    0.804426	   -1.191345	    0.396615	    0.809678	  -1.231874	   0.298472	   0.857222	 -1.287479	  0.071071	  0.806593	 -1.189333	  0.008389	  0.851556	 -1.145418	  1.442549	  0.578654	 -1.108853	  0.944648	  0.613473	  -1.122027	   0.943264	   0.754439	  -1.095678	   0.946031	   0.472508	 -1.277760	  0.068616	  0.762724	 -1.179614	  0.005935	  0.807687	 -1.234380	  0.040911	  0.782598	 -1.173228	  0.464563	  0.749482	 -1.215564	  0.304204	  0.754845	 -1.108853	  0.944648	  0.613473	 -1.202749	  0.842718	  0.705604	 -1.189317	  0.670657	  0.725569	 -1.191969	  0.845215	  0.509073	 -1.226703	  0.449436	  0.523983	 -1.207773	  0.665136	  0.515857	 -1.308064	  0.046337	  0.553631	 -1.259654	  0.286181	  0.535991	 -1.197940	  0.011381	  0.527711	 -1.259389	  0.030886	  0.542175	 -1.353597	  0.019227	  0.744174	 -1.374600	 -0.006678	  0.561157	
   152	1.520	 -1.317309	  0.960574	  0.601527	 -1.121016	  0.943629	  0.753849	 -1.217977	  0.860223	  0.804326	 -1.186597	  0.683732	  0.914256	 -1.162591	  0.465542	  0.804400	 -1.184083	  0.397566	  0.809817	 -1.227362	  0.300321	  0.856860	 -1.286151	  0.074059	  0.805748	 -1.189494	  0.009899	  0.851017	 -1.094378	  0.945622	  0.471794	 -1.208752	  0.874201	  0.426527	 -1.205396	  0.649630	  0.336400	 -1.221418	  0.443776	  0.469190	 -1.231743	  0.386071	  0.474206	 -1.250708	  0.270096	  0.433246	 -1.304628	  0.041145	  0.509041	 -1.194461	  0.006201	  0.483181	 -1.352264	  0.022998	  0.742264	 -1.374595	 -0.006667	  0.561150	 -1.146302	  1.454005	  0.748335	 -1.213929	  1.469346	  0.570025	 -1.137947	  1.430915	  0.406206	   -1.137579	    1.430991	    0.406480	 -1.094040	  0.945579	  0.471921	  -1.208825	   0.874236	   0.426669	  -1.205365	   0.649520	   0.336385	   -1.221478	    0.443833	    0.469143	   -1.231577	    0.386043	    0.474227	  -1.250781	   0.270088	   0.433245	 -1.304623	  0.041135	  0.509049	 -1.194489	  0.006196	  0.483158	 -1.213775	  1.469272	  0.570195	 -1.317075	  0.960627	  0.601720	   -1.146247	    1.453914	    0.748541	 -1.120861	  0.943811	  0.753798	  -1.217457	   0.860219	   0.804392	  -1.186685	   0.684015	   0.914344	   -1.162816	    0.465784	    0.804491	   -1.184043	    0.397740	    0.809733	  -1.226483	   0.300259	   0.856747	 -1.284660	  0.073811	  0.805325	 -1.187599	  0.010146	  0.850865	 -1.141913	  1.442452	  0.577510	 -1.107451	  0.944695	  0.612860	  -1.120861	   0.943811	   0.753798	  -1.094040	   0.945579	   0.471921	 -1.274461	  0.071239	  0.761571	 -1.177400	  0.007573	  0.807112	 -1.231560	  0.043099	  0.781700	 -1.165933	  0.465339	  0.749581	 -1.209887	  0.305728	  0.754437	 -1.107451	  0.944695	  0.612860	 -1.201288	  0.843102	  0.705422	 -1.185202	  0.671220	  0.725514	 -1.190704	  0.844945	  0.508872	 -1.226244	  0.449353	  0.523657	 -1.206874	  0.664951	  0.515599	 -1.308095	  0.046369	  0.553608	 -1.259394	  0.286145	  0.535787	 -1.197961	  0.011431	  0.527718	 -1.259416	  0.030926	  0.542165	 -1.350782	  0.022675	  0.742276	 -1.374616	 -0.006657	  0.561162	
   153	1.530	 -1.315864	  0.960677	  0.601176	 -1.119811	  0.944374	  0.753158	 -1.215629	  0.860621	  0.803952	 -1.180016	  0.684597	  0.913962	 -1.154678	  0.466579	  0.804372	 -1.176745	  0.398846	  0.809736	 -1.221621	  0.302218	  0.856201	 -1.283070	  0.077061	  0.804232	 -1.187229	  0.011543	  0.849980	 -1.092703	  0.945244	  0.471195	 -1.207718	  0.873988	  0.426298	 -1.204370	  0.649051	  0.336193	 -1.221071	  0.443718	  0.468865	 -1.231230	  0.385999	  0.473892	 -1.250583	  0.270051	  0.433076	 -1.304621	  0.041119	  0.509048	 -1.194500	  0.006220	  0.483189	 -1.349015	  0.026598	  0.740259	 -1.374629	 -0.006646	  0.561166	 -1.142766	  1.453989	  0.747302	 -1.210335	  1.469418	  0.568786	 -1.134163	  1.430683	  0.405230	   -1.133713	    1.430712	    0.405424	 -1.092444	  0.945153	  0.471319	  -1.207766	   0.873989	   0.426405	  -1.204786	   0.649239	   0.336118	   -1.221095	    0.443757	    0.468811	   -1.231189	    0.385966	    0.473899	  -1.250538	   0.269984	   0.433047	 -1.304616	  0.041111	  0.509039	 -1.194449	  0.006175	  0.483186	 -1.210177	  1.469383	  0.568945	 -1.315650	  0.960724	  0.601349	   -1.142862	    1.454001	    0.747492	 -1.119550	  0.944383	  0.753156	  -1.215190	   0.860660	   0.804116	  -1.180593	   0.684831	   0.913985	   -1.154911	    0.466839	    0.804568	   -1.176620	    0.398951	    0.809723	  -1.220671	   0.302039	   0.856233	 -1.281101	  0.076475	  0.803928	 -1.184987	  0.012017	  0.850103	 -1.138287	  1.442356	  0.576458	 -1.105997	  0.944768	  0.612237	  -1.119550	   0.944383	   0.753156	  -1.092444	   0.945153	   0.471319	 -1.270523	  0.073832	  0.760269	 -1.174408	  0.009374	  0.806444	 -1.228040	  0.045342	  0.780678	 -1.158659	  0.466203	  0.749699	 -1.203964	  0.307293	  0.753980	 -1.105997	  0.944768	  0.612237	 -1.199728	  0.843509	  0.705273	 -1.181041	  0.671835	  0.725487	 -1.189430	  0.844697	  0.508703	 -1.225793	  0.449276	  0.523331	 -1.205975	  0.664780	  0.515359	 -1.308070	  0.046386	  0.553595	 -1.259115	  0.286106	  0.535588	 -1.197903	  0.011451	  0.527742	 -1.259376	  0.030945	  0.542168	 -1.347208	  0.025988	  0.740343	 -1.374630	 -0.006636	  0.561172	
