BTS ASCII format

Type:         	3D vector tracks
Measure unit: 	%

Tracks:       	8
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	 vRLASIS.X	 vRLASIS.Y	 vRLASIS.Z	 vLRASIS.X	 vLRASIS.Y	 vLRASIS.Z	    vRFz.X	    vRFz.Y	    vRFz.Z	    vLFz.X	    vLFz.Y	    vLFz.Z	    vRFx.X	    vRFx.Y	    vRFx.Z	    vRFy.X	    vRFy.Y	    vRFy.Z	    vLFx.X	    vLFx.Y	    vLFx.Z	    vLFy.X	    vLFy.Y	    vLFy.Z	
    18	0.180	 10.010546	  7.050844	-99.247536	-10.010546	 -7.050844	 99.247536	 12.487041	  0.122314	-99.217232	 -1.144674	 -5.186202	-99.858871	-95.200279	 -2.977092	-30.463827	 -3.042624	 99.953369	 -0.259710	-97.784790	 -6.005003	 20.051825	 -7.161325	 99.613220	 -5.091354	
    19	0.190	  9.979400	  7.055998	-99.250313	 -9.979400	 -7.055998	 99.250313	 12.466109	  0.132008	-99.219856	 -1.090103	 -5.182155	-99.859688	-95.201378	 -2.982998	-30.459785	 -3.051757	 99.953110	 -0.250443	-97.784714	 -5.992774	 20.055826	 -7.149137	 99.614098	 -5.091368	
    20	0.200	  9.951211	  7.064005	-99.252579	 -9.951211	 -7.064005	 99.252579	 12.435380	  0.144020	-99.223694	 -1.058578	 -5.180188	-99.860123	-95.201401	 -2.991313	-30.458900	 -3.064157	 99.952759	 -0.238943	-97.783707	 -5.988502	 20.062010	 -7.145264	 99.614357	 -5.091694	
    21	0.210	  9.928943	  7.073321	-99.254135	 -9.928943	 -7.073321	 99.254135	 12.383732	  0.159964	-99.230125	 -1.042154	 -5.177805	-99.860420	-95.199951	 -3.001570	-30.462423	 -3.079972	 99.952309	 -0.223246	-97.782440	 -5.990337	 20.067648	 -7.147261	 99.614273	 -5.090453	
    22	0.220	  9.913854	  7.082963	-99.254959	 -9.913854	 -7.082963	 99.254959	 12.313787	  0.180403	-99.238792	 -1.040034	 -5.176545	-99.860512	-95.197929	 -3.015597	-30.467367	 -3.101182	 99.951698	 -0.203103	-97.781731	 -5.994032	 20.070004	 -7.150948	 99.614075	 -5.089294	
    23	0.230	  9.905580	  7.093732	-99.255020	 -9.905580	 -7.093732	 99.255020	 12.231931	  0.202739	-99.248871	 -1.062817	 -5.176224	-99.860291	-95.195503	 -3.031716	-30.473354	 -3.125225	 99.950989	 -0.180996	-97.780899	 -6.001378	 20.071840	 -7.158144	 99.613663	 -5.087256	
    24	0.240	  9.903624	  7.104915	-99.254410	 -9.903624	 -7.104915	 99.254410	 12.156965	  0.222905	-99.258041	 -1.090632	 -5.170644	-99.860275	-95.192520	 -3.045560	-30.481279	 -3.146263	 99.950363	 -0.160890	-97.779396	 -6.012781	 20.075748	 -7.168473	 99.613312	 -5.079565	
    25	0.250	  9.907228	  7.115310	-99.253311	 -9.907228	 -7.115310	 99.253311	 12.080932	  0.242823	-99.267273	 -1.116593	 -5.155484	-99.860779	-95.190224	 -3.057061	-30.487320	 -3.164861	 99.949806	 -0.140675	-97.777901	 -6.022844	 20.080034	 -7.175574	 99.613663	 -5.062493	
    26	0.260	  9.916625	  7.124662	-99.251701	 -9.916625	 -7.124662	 99.251701	 12.014971	  0.261159	-99.275238	 -1.147853	 -5.137514	-99.861351	-95.188591	 -3.066388	-30.491468	 -3.180666	 99.949333	 -0.122013	-97.776291	 -6.033933	 20.084549	 -7.183092	 99.614151	 -5.042231	
    27	0.270	  9.931456	  7.133406	-99.249588	 -9.931456	 -7.133406	 99.249588	 11.971792	  0.273213	-99.280418	 -1.187060	 -5.117879	-99.861893	-95.187439	 -3.070714	-30.494625	 -3.189235	 99.949074	 -0.109523	-97.773834	 -6.049423	 20.091850	 -7.194813	 99.614449	 -5.019672	
    28	0.280	  9.943000	  7.142762	-99.247757	 -9.943000	 -7.142762	 99.247757	 11.937616	  0.283263	-99.284508	 -1.223617	 -5.099763	-99.862381	-95.186722	 -3.072272	-30.496710	 -3.194287	 99.948921	 -0.098911	-97.771217	 -6.066810	 20.099348	 -7.208811	 99.614487	 -4.998774	
    29	0.290	  9.950331	  7.153887	-99.246223	 -9.950331	 -7.153887	 99.246223	 11.895494	  0.294985	-99.289528	 -1.266267	 -5.084505	-99.862633	-95.185684	 -3.076809	-30.499481	 -3.202960	 99.948654	 -0.086791	-97.768639	 -6.085899	 20.106098	 -7.224969	 99.614243	 -4.980245	
    30	0.300	  9.955638	  7.166470	-99.244781	 -9.955638	 -7.166470	 99.244781	 11.862376	  0.304282	-99.293457	 -1.311567	 -5.074516	-99.862549	-95.183350	 -3.084949	-30.505959	 -3.214469	 99.948296	 -0.077738	-97.765999	 -6.107209	 20.112476	 -7.244373	 99.613503	 -4.966715	
    31	0.310	  9.956770	  7.180283	-99.243668	 -9.956770	 -7.180283	 99.243668	 11.828473	  0.312891	-99.297485	 -1.357396	 -5.065962	-99.862373	-95.180336	 -3.094972	-30.514330	 -3.227700	 99.947868	 -0.069548	-97.763351	 -6.128723	 20.118826	 -7.264259	 99.612663	 -4.954554	
    32	0.320	  9.950373	  7.194757	-99.243263	 -9.950373	 -7.194757	 99.243263	 11.774434	  0.327163	-99.303856	 -1.399517	 -5.058391	-99.862175	-95.176384	 -3.107822	-30.525366	 -3.245786	 99.947296	 -0.055569	-97.761002	 -6.147586	 20.124472	 -7.281653	 99.611938	 -4.943666	
    33	0.330	  9.946490	  7.207269	-99.242744	 -9.946490	 -7.207269	 99.242744	 11.710322	  0.343712	-99.311378	 -1.446935	 -5.049173	-99.861969	-95.171432	 -3.121853	-30.539354	 -3.265916	 99.946648	 -0.039191	-97.758934	 -6.162928	 20.129824	 -7.295042	 99.611595	 -4.930814	
    34	0.340	  9.943645	  7.217026	-99.242325	 -9.943645	 -7.217026	 99.242325	 11.648343	  0.359714	-99.318611	 -1.486142	 -5.040398	-99.861832	-95.167313	 -3.133599	-30.550980	 -3.283530	 99.946075	 -0.023114	-97.756615	 -6.177454	 20.136589	 -7.307900	 99.611237	 -4.918993	
    35	0.350	  9.937202	  7.223681	-99.242485	 -9.937202	 -7.223681	 99.242485	 11.585022	  0.375758	-99.325958	 -1.512632	 -5.032839	-99.861816	-95.164856	 -3.141093	-30.557882	 -3.296828	 99.945641	 -0.006428	-97.754448	 -6.189786	 20.143341	 -7.318956	 99.610901	 -4.909331	
    36	0.360	  9.928712	  7.228702	-99.242966	 -9.928712	 -7.228702	 99.242966	 11.537070	  0.388109	-99.331490	 -1.535416	 -5.024663	-99.861877	-95.163429	 -3.144516	-30.561960	 -3.304672	 99.945381	  0.006679	-97.752968	 -6.196930	 20.148359	 -7.324561	 99.610977	 -4.899421	
    37	0.370	  9.918889	  7.232794	-99.243652	 -9.918889	 -7.232794	 99.243652	 11.516944	  0.393126	-99.333809	 -1.561907	 -5.015675	-99.861923	-95.163246	 -3.142795	-30.562723	 -3.304707	 99.945381	  0.012392	-97.752121	 -6.201231	 20.151094	 -7.326914	 99.611343	 -4.888491	
    38	0.380	  9.903401	  7.236281	-99.244949	 -9.903401	 -7.236281	 99.244949	 11.524093	  0.393581	-99.332977	 -1.588663	 -5.007206	-99.861923	-95.164452	 -3.136182	-30.559635	 -3.298045	 99.945602	  0.013386	-97.751610	 -6.203833	 20.152788	 -7.327573	 99.611801	 -4.878093	
    39	0.390	  9.884036	  7.239800	-99.246613	 -9.884036	 -7.239800	 99.246613	 11.548198	  0.391420	-99.330185	 -1.621511	 -4.998104	-99.861855	-95.166138	 -3.126485	-30.555386	 -3.287262	 99.945953	  0.011667	-97.752411	 -6.199485	 20.150248	 -7.320690	 99.612862	 -4.866772	
    40	0.400	  9.864001	  7.244014	-99.248299	 -9.864001	 -7.244014	 99.248299	 11.580251	  0.389516	-99.326462	 -1.666811	 -4.988163	-99.861603	-95.168343	 -3.116694	-30.549503	 -3.276367	 99.946312	  0.009963	-97.753754	 -6.191077	 20.146309	 -7.309247	 99.614334	 -4.853811	
    41	0.410	  9.840320	  7.247256	-99.250420	 -9.840320	 -7.247256	 99.250420	 11.607812	  0.390477	-99.323242	 -1.711579	 -4.979360	-99.861290	-95.171165	 -3.108789	-30.541521	 -3.268297	 99.946579	  0.010965	-97.754898	 -6.180628	 20.143997	 -7.296079	 99.615875	 -4.842071	
    42	0.420	  9.815178	  7.248750	-99.252792	 -9.815178	 -7.248750	 99.252792	 11.630589	  0.395212	-99.320564	 -1.740190	 -4.973775	-99.861069	-95.174660	 -3.103387	-30.531195	 -3.263959	 99.946716	  0.015489	-97.755882	 -6.166640	 20.143499	 -7.280316	 99.617378	 -4.834770	
    43	0.430	  9.788052	  7.249118	-99.255447	 -9.788052	 -7.249118	 99.255447	 11.648079	  0.400635	-99.318489	 -1.744164	 -4.972070	-99.861084	-95.178909	 -3.099992	-30.518290	 -3.261893	 99.946785	  0.020614	-97.756958	 -6.149588	 20.143492	 -7.262611	 99.618752	 -4.833156	
    44	0.440	  9.758615	  7.247172	-99.258492	 -9.758615	 -7.247172	 99.258492	 11.661587	  0.407166	-99.316879	 -1.735157	 -4.972922	-99.861198	-95.183220	 -3.100043	-30.504816	 -3.263690	 99.946724	  0.026532	-97.757660	 -6.132939	 20.145138	 -7.246125	 99.619858	 -4.834998	
    45	0.450	  9.726410	  7.242362	-99.262009	 -9.726410	 -7.242362	 99.262009	 11.676416	  0.413160	-99.315109	 -1.716350	 -4.975359	-99.861404	-95.186996	 -3.100786	-30.492968	 -3.266023	 99.946648	  0.031802	-97.758652	 -6.113564	 20.146217	 -7.227293	 99.621025	 -4.839165	
    46	0.460	  9.693905	  7.235192	-99.265709	 -9.693905	 -7.235192	 99.265709	 11.696550	  0.416620	-99.312721	 -1.692772	 -4.981203	-99.861511	-95.190598	 -3.099685	-30.481846	 -3.265657	 99.946663	  0.034667	-97.759972	 -6.093698	 20.145853	 -7.208620	 99.621994	 -4.847061	
    47	0.470	  9.660600	  7.226638	-99.269577	 -9.660600	 -7.226638	 99.269577	 11.715884	  0.418085	-99.310440	 -1.692773	 -4.991064	-99.861023	-95.194046	 -3.098265	-30.471203	 -3.264363	 99.946701	  0.035659	-97.762039	 -6.072516	 20.142176	 -7.188868	 99.622925	 -4.857304	
    48	0.480	  9.629613	  7.217848	-99.273224	 -9.629613	 -7.217848	 99.273224	 11.731791	  0.418897	-99.308556	 -1.731449	 -5.002296	-99.859795	-95.196976	 -3.096466	-30.462244	 -3.262537	 99.946762	  0.036170	-97.764435	 -6.050401	 20.137211	 -7.167811	 99.624008	 -4.866204	
    49	0.490	  9.602941	  7.209700	-99.276398	 -9.602941	 -7.209700	 99.276398	 11.748468	  0.416860	-99.306595	 -1.776747	 -5.014371	-99.858398	-95.199455	 -3.089933	-30.455156	 -3.255050	 99.947006	  0.034459	-97.767151	 -6.025605	 20.131483	 -7.144062	 99.625252	 -4.875552	
    50	0.500	  9.580481	  7.203050	-99.279053	 -9.580481	 -7.203050	 99.279053	 11.772584	  0.412042	-99.303757	 -1.823636	 -5.026747	-99.856934	-95.202164	 -3.082156	-30.447479	 -3.245364	 99.947319	  0.029970	-97.769913	 -6.000676	 20.125486	 -7.120203	 99.626495	 -4.885114	
    51	0.510	  9.562792	  7.199506	-99.281013	 -9.562792	 -7.199506	 99.281013	 11.799603	  0.406760	-99.300575	 -1.866818	 -5.035394	-99.855698	-95.204819	 -3.075782	-30.439821	 -3.236928	 99.947594	  0.024776	-97.772820	 -5.975107	 20.118982	 -7.094970	 99.627991	 -4.891270	
    52	0.520	  9.549398	  7.198803	-99.282356	 -9.549398	 -7.198803	 99.282356	 11.827945	  0.401239	-99.297226	 -1.865494	 -5.035808	-99.855698	-95.206993	 -3.068703	-30.433727	 -3.227711	 99.947891	  0.019394	-97.774742	 -5.953593	 20.116003	 -7.073057	 99.629501	 -4.892262	
    53	0.530	  9.538836	  7.199847	-99.283295	 -9.538836	 -7.199847	 99.283295	 11.849138	  0.397439	-99.294708	 -1.815955	 -5.031046	-99.856857	-95.208855	 -3.062504	-30.428532	 -3.220000	 99.948143	  0.015802	-97.775856	 -5.937714	 20.115290	 -7.056640	 99.630714	 -4.891323	
    54	0.540	  9.530865	  7.203170	-99.283821	 -9.530865	 -7.203170	 99.283821	 11.862385	  0.396636	-99.293137	 -1.754762	 -5.025262	-99.858238	-95.210487	 -3.061317	-30.423542	 -3.218366	 99.948196	  0.014760	-97.775970	 -5.930516	 20.116879	 -7.049135	 99.631310	 -4.889971	
    55	0.550	  9.526529	  7.208125	-99.283875	 -9.526529	 -7.208125	 99.283875	 11.856023	  0.397985	-99.293884	 -1.683501	 -5.021023	-99.859680	-95.210976	 -3.062804	-30.421856	 -3.220332	 99.948135	  0.016089	-97.774796	 -5.934026	 20.121578	 -7.053146	 99.630997	 -4.890618	
    56	0.560	  9.526564	  7.213151	-99.283508	 -9.526564	 -7.213151	 99.283508	 11.837488	  0.400634	-99.296089	 -1.616479	 -5.019004	-99.860886	-95.209740	 -3.065745	-30.425426	 -3.224349	 99.947998	  0.018877	-97.772957	 -5.947092	 20.126631	 -7.067267	 99.629883	 -4.892993	
    57	0.570	  9.531708	  7.217310	-99.282715	 -9.531708	 -7.217310	 99.282715	 11.812053	  0.404451	-99.299103	 -1.578332	 -5.020659	-99.861412	-95.207352	 -3.072407	-30.432234	 -3.232594	 99.947731	  0.022562	-97.771034	 -5.965043	 20.130651	 -7.086615	 99.628311	 -4.896935	
    58	0.580	  9.540769	  7.221823	-99.281517	 -9.540769	 -7.221823	 99.281517	 11.789537	  0.407580	-99.301765	 -1.561906	 -5.024811	-99.861458	-95.204445	 -3.082323	-30.440325	 -3.243904	 99.947372	  0.025099	-97.768936	 -5.986351	 20.134502	 -7.109556	 99.626434	 -4.901786	
    59	0.590	  9.552197	  7.227080	-99.280029	 -9.552197	 -7.227080	 99.280029	 11.761457	  0.410577	-99.305084	 -1.560052	 -5.027816	-99.861343	-95.201218	 -3.093495	-30.449274	 -3.256512	 99.946960	  0.027537	-97.767044	 -6.009279	 20.136889	 -7.133614	 99.624588	 -4.904454	
    60	0.600	  9.566345	  7.233685	-99.278191	 -9.566345	 -7.233685	 99.278191	 11.728612	  0.415883	-99.308945	 -1.563231	 -5.029613	-99.861198	-95.198227	 -3.104990	-30.457464	 -3.270205	 99.946510	  0.032335	-97.765503	 -6.030107	 20.138128	 -7.155151	 99.622986	 -4.905608	
    61	0.610	  9.581283	  7.242218	-99.276123	 -9.581283	 -7.242218	 99.276123	 11.688078	  0.423235	-99.313698	 -1.561642	 -5.031379	-99.861130	-95.196457	 -3.116754	-30.461788	 -3.284844	 99.946030	  0.039341	-97.763618	 -6.048222	 20.141848	 -7.174158	 99.621544	 -4.907117	
    62	0.620	  9.596549	  7.254674	-99.273743	 -9.596549	 -7.254674	 99.273743	 11.650986	  0.429832	-99.318024	 -1.551044	 -5.034287	-99.861160	-95.195755	 -3.127627	-30.462879	 -3.298283	 99.945580	  0.045627	-97.761627	 -6.065514	 20.146303	 -7.192735	 99.620041	 -4.910414	
    63	0.630	  9.615561	  7.270002	-99.270782	 -9.615561	 -7.270002	 99.270782	 11.612309	  0.436008	-99.322525	 -1.542304	 -5.037439	-99.861130	-95.194801	 -3.137333	-30.464861	 -3.310437	 99.945175	  0.051701	-97.759598	 -6.082672	 20.150990	 -7.211214	 99.618538	 -4.913828	
    64	0.640	  9.637053	  7.286653	-99.267479	 -9.637053	 -7.286653	 99.267479	 11.581578	  0.441364	-99.326096	 -1.533826	 -5.040814	-99.861092	-95.193474	 -3.146146	-30.468088	 -3.321369	 99.944809	  0.056837	-97.757515	 -6.098505	 20.156309	 -7.228431	 99.617104	 -4.917473	
    65	0.650	  9.658311	  7.304002	-99.264130	 -9.658311	 -7.304002	 99.264130	 11.570448	  0.443185	-99.327377	 -1.531442	 -5.044101	-99.860962	-95.191986	 -3.156786	-30.471632	 -3.332859	 99.944427	  0.057700	-97.755234	 -6.115973	 20.162064	 -7.247233	 99.615593	 -4.920565	
    66	0.660	  9.679958	  7.321085	-99.260773	 -9.679958	 -7.321085	 99.260773	 11.574952	  0.441248	-99.326859	 -1.547866	 -5.045555	-99.860634	-95.189461	 -3.169276	-30.478235	 -3.344928	 99.944023	  0.054192	-97.753212	 -6.136553	 20.165649	 -7.268413	 99.614052	 -4.920434	
    67	0.670	  9.701635	  7.335557	-99.257584	 -9.701635	 -7.335557	 99.257584	 11.578398	  0.437788	-99.326477	 -1.590518	 -5.043086	-99.860092	-95.185829	 -3.182542	-30.488195	 -3.357359	 99.943611	  0.049143	-97.751328	 -6.158785	 20.167953	 -7.290016	 99.612770	 -4.914484	
    68	0.680	  9.721153	  7.346128	-99.254898	 -9.721153	 -7.346128	 99.254898	 11.580782	  0.433475	-99.326218	 -1.653301	 -5.036709	-99.859390	-95.182541	 -3.195292	-30.497128	 -3.369003	 99.943222	  0.043364	-97.749504	 -6.182184	 20.169647	 -7.311680	 99.611732	 -4.903164	
