BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
    10	0.100	 -9.637549	  1.699354	 -0.795637	 -1.481743	 -9.720642	 -3.489680	 -4.665944	  0.672430	 -4.578627	  0.445554	  2.932848	 -2.398896	  1.820730	  5.770917	  1.889290	 -1.820730	 -5.770917	  1.889290	  2.909122	  0.332845	  8.923602	 -2.909122	 -0.332845	  8.923602	  1.272445	  5.398022	 -6.916311	 -1.272445	 -5.398022	 -6.916311	-24.621929	-180.000000	 90.000000	 14.178125	 -0.000013	 90.000000	  1.572597	-12.338523	  2.075244	  1.063455	 -8.200985	  3.548700	
    11	0.110	 -9.634601	  1.694600	 -0.790657	 -1.492030	 -9.714606	 -3.494726	 -4.680750	  0.669373	 -4.585289	  0.475372	  2.930732	 -2.394074	  1.824674	  5.766661	  1.882263	 -1.824674	 -5.766661	  1.882263	  2.913683	  0.338273	  8.941345	 -2.913683	 -0.338273	  8.941345	  1.272061	  5.388479	 -6.941162	 -1.272061	 -5.388479	 -6.941162	-24.620220	180.000000	 90.000000	 14.156363	 -0.000002	 90.000000	  1.579086	-12.324501	  2.081835	  1.070393	 -8.203222	  3.549492	
    12	0.120	 -9.653625	  1.692406	 -0.800084	 -1.480737	 -9.713799	 -3.497087	 -4.709993	  0.669738	 -4.587486	  0.534995	  2.933147	 -2.380430	  1.835872	  5.764461	  1.884211	 -1.835872	 -5.764461	  1.884211	  2.899301	  0.345874	  8.944190	 -2.899301	 -0.345874	  8.944190	  1.246225	  5.379535	 -6.944686	 -1.246225	 -5.379535	 -6.944686	-24.607395	-180.000000	 90.000000	 14.165090	 -0.000012	 90.000000	  1.574314	-12.283886	  2.071726	  1.075446	 -8.248753	  3.573002	
    13	0.130	 -9.657241	  1.691503	 -0.819297	 -1.482485	 -9.723742	 -3.507234	 -4.708453	  0.676471	 -4.591283	  0.543976	  2.937458	 -2.373442	  1.840921	  5.771094	  1.882129	 -1.840921	 -5.771094	  1.882129	  2.897249	  0.356614	  8.944988	 -2.897249	 -0.356614	  8.944988	  1.238756	  5.375723	 -6.948178	 -1.238756	 -5.375723	 -6.948178	-24.608456	-180.000000	 90.000000	 14.177071	 -0.000002	 90.000000	  1.567725	-12.282705	  2.058312	  1.075758	 -8.267039	  3.575700	
    14	0.140	 -9.634958	  1.692984	 -0.840061	 -1.497598	 -9.726080	 -3.513888	 -4.689778	  0.677739	 -4.592325	  0.525232	  2.940568	 -2.380233	  1.843260	  5.771585	  1.882390	 -1.843260	 -5.771585	  1.882390	  2.891161	  0.362599	  8.962646	 -2.891161	 -0.362599	  8.962646	  1.230129	  5.370520	 -6.966427	 -1.230129	 -5.370520	 -6.966427	-24.613459	180.000000	 90.000000	 14.179244	 -0.000010	 90.000000	  1.566614	-12.288061	  2.039201	  1.070391	 -8.265358	  3.570898	
    15	0.150	 -9.572013	  1.693816	 -0.863733	 -1.501927	 -9.718817	 -3.544327	 -4.709304	  0.670932	 -4.607506	  0.527979	  2.938833	 -2.372771	  1.851929	  5.762882	  1.871248	 -1.851929	 -5.762882	  1.871248	  2.888299	  0.372106	  8.987474	 -2.888299	 -0.372106	  8.987474	  1.216875	  5.352961	 -7.003817	 -1.216875	 -5.352961	 -7.003817	-24.596586	-180.000000	 90.000000	 14.161887	 -0.000002	 90.000000	  1.562815	-12.337768	  2.027412	  1.068838	 -8.255794	  3.596149	
    16	0.160	 -9.569421	  1.687793	 -0.838129	 -1.505729	 -9.709327	 -3.541839	 -4.711085	  0.663900	 -4.614372	  0.506262	  2.935708	 -2.370831	  1.856934	  5.753460	  1.862239	 -1.856934	 -5.753460	  1.862239	  2.888234	  0.376966	  8.991490	 -2.888234	 -0.376966	  8.991490	  1.210449	  5.339055	 -7.017602	 -1.210449	 -5.339055	 -7.017602	-24.583563	-180.000000	 90.000000	 14.172047	  0.000012	 90.000000	  1.561959	-12.323107	  2.031387	  1.071062	 -8.249320	  3.590350	
    17	0.170	 -9.559052	  1.689742	 -0.855079	 -1.498694	 -9.715468	 -3.546492	 -4.686488	  0.666868	 -4.605619	  0.490944	  2.934675	 -2.365193	  1.857033	  5.755678	  1.862557	 -1.857033	 -5.755678	  1.862557	  2.897336	  0.375487	  8.993647	 -2.897336	 -0.375487	  8.993647	  1.219643	  5.342432	 -7.018488	 -1.219643	 -5.342432	 -7.018488	-24.567854	-180.000000	 90.000000	 14.178828	  0.000008	 90.000000	  1.553959	-12.330034	  2.017932	  1.071966	 -8.260043	  3.582421	
    18	0.180	 -9.529520	  1.693493	 -0.850401	 -1.528161	 -9.718798	 -3.554497	 -4.683341	  0.668034	 -4.614874	  0.490497	  2.937270	 -2.363277	  1.854677	  5.757003	  1.851228	 -1.854677	 -5.757003	  1.851228	  2.905493	  0.381179	  8.991524	 -2.905493	 -0.381179	  8.991524	  1.228985	  5.337947	 -7.026680	 -1.228985	 -5.337947	 -7.026680	-24.575476	180.000000	 90.000000	 14.171391	  0.000003	 90.000000	  1.554745	-12.332753	  2.031934	  1.071784	 -8.256479	  3.598581	
    19	0.190	 -9.558537	  1.697776	 -0.877013	 -1.527046	 -9.720922	 -3.558968	 -4.697669	  0.672503	 -4.616593	  0.504346	  2.931879	 -2.364775	  1.859862	  5.756021	  1.851567	 -1.859862	 -5.756021	  1.851567	  2.894999	  0.384127	  8.981883	 -2.894999	 -0.384127	  8.981883	  1.213144	  5.334550	 -7.018297	 -1.213144	 -5.334550	 -7.018297	-24.591282	-180.000000	 90.000000	 14.170129	 -0.000003	 90.000000	  1.550857	-12.294881	  2.010289	  1.070891	 -8.266781	  3.609352	
    20	0.200	 -9.539611	  1.694896	 -0.905062	 -1.529243	 -9.715856	 -3.574022	 -4.689177	  0.673039	 -4.628521	  0.522933	  2.925235	 -2.391630	  1.863645	  5.751081	  1.854400	 -1.863645	 -5.751081	  1.854400	  2.893989	  0.387106	  8.972800	 -2.893989	 -0.387106	  8.972800	  1.208327	  5.326740	 -7.006961	 -1.208327	 -5.326740	 -7.006961	-24.587547	-180.000000	 90.000000	 14.170523	  0.000004	 90.000000	  1.550995	-12.314504	  2.000542	  1.072322	 -8.311247	  3.590781	
    21	0.210	 -9.523124	  1.689662	 -0.911965	 -1.524564	 -9.705758	 -3.595105	 -4.695785	  0.665794	 -4.642498	  0.513180	  2.925027	 -2.393894	  1.861915	  5.746346	  1.843645	 -1.861915	 -5.746346	  1.843645	  2.902936	  0.387936	  8.965332	 -2.902936	 -0.387936	  8.965332	  1.217851	  5.321042	 -7.009330	 -1.217851	 -5.321042	 -7.009330	-24.585823	180.000000	 90.000000	 14.175060	  0.000010	 90.000000	  1.554266	-12.352505	  2.013724	  1.071209	 -8.307583	  3.593369	
    22	0.220	 -9.532590	  1.681531	 -0.900410	 -1.527364	 -9.696438	 -3.591932	 -4.702224	  0.656316	 -4.644814	  0.515864	  2.928435	 -2.387845	  1.865645	  5.740595	  1.839997	 -1.865645	 -5.740595	  1.839997	  2.902905	  0.385541	  8.961253	 -2.902905	 -0.385541	  8.961253	  1.213621	  5.317895	 -7.009405	 -1.213621	 -5.317895	 -7.009405	-24.576414	180.000000	 90.000000	 14.168410	  0.000014	 90.000000	  1.552336	-12.334417	  2.018847	  1.071801	 -8.303344	  3.616920	
    23	0.230	 -9.537694	  1.678763	 -0.903070	 -1.540187	 -9.699540	 -3.604786	 -4.704798	  0.659551	 -4.659245	  0.513239	  2.931606	 -2.397388	  1.865815	  5.742478	  1.834381	 -1.865815	 -5.742478	  1.834381	  2.902928	  0.380347	  8.958849	 -2.902928	 -0.380347	  8.958849	  1.213192	  5.325092	 -7.012599	 -1.213192	 -5.325092	 -7.012599	-24.559675	-180.000000	 90.000000	 14.169413	  0.000002	 90.000000	  1.549383	-12.312723	  2.014755	  1.071696	 -8.289935	  3.630491	
