BTS ASCII format

Type:         	3D vector tracks
Measure unit: 	%

Tracks:       	8
Frequency:    	100 Hz
Frames:       	516
Start time:   	0.000

 Frame	 Time	 vRLASIS.X	 vRLASIS.Y	 vRLASIS.Z	 vLRASIS.X	 vLRASIS.Y	 vLRASIS.Z	    vRFz.X	    vRFz.Y	    vRFz.Z	    vLFz.X	    vLFz.Y	    vLFz.Z	    vRFx.X	    vRFx.Y	    vRFx.Z	    vRFy.X	    vRFy.Y	    vRFy.Z	    vLFx.X	    vLFx.Y	    vLFx.Z	    vLFy.X	    vLFy.Y	    vLFy.Z	
    18	0.180	  6.462464	  9.896909	-99.298981	 -6.462464	 -9.896909	 99.298981	 21.056213	 -2.731368	-97.719887	-11.947421	  2.739959	-99.245918	-91.232750	  2.161456	-40.889038	  3.300399	 99.923836	 -2.081816	-98.081116	 -0.540325	 19.488554	 -0.002279	 99.961906	  2.760001	
    19	0.190	  6.447463	  9.896061	-99.300041	 -6.447463	 -9.896061	 99.300041	 21.161633	 -2.734081	-97.697029	-11.961860	  2.741549	-99.244133	-91.236954	  2.164451	-40.879498	  3.302928	 99.923775	 -2.080968	-98.079231	 -0.559511	 19.497446	 -0.020810	 99.961792	  2.763882	
    20	0.200	  6.414198	  9.888747	-99.302925	 -6.414198	 -9.888747	 99.302925	 21.198183	 -2.736001	-97.689056	-11.908874	  2.740853	-99.250526	-91.234352	  2.162512	-40.885410	  3.301568	 99.923790	 -2.082161	-98.074852	 -0.548230	 19.519800	 -0.009139	 99.961861	  2.761593	
    21	0.210	  6.405067	  9.881491	-99.304237	 -6.405067	 -9.881491	 99.304237	 21.114614	 -2.727906	-97.707382	-11.966887	  2.749744	-99.243301	-91.225136	  2.144648	-40.906910	  3.282113	 99.924469	 -2.080539	-98.070236	 -0.553901	 19.542843	 -0.012368	 99.961594	  2.771137	
    22	0.220	  6.414212	  9.871647	-99.304619	 -6.414212	 -9.871647	 99.304619	 21.139654	 -2.741583	-97.701576	-11.943048	  2.747575	-99.246231	-91.225571	  2.141208	-40.906113	  3.284061	 99.924133	 -2.093378	-98.071999	 -0.587475	 19.532990	 -0.046501	 99.961540	  2.772974	
    23	0.230	  6.424756	  9.874922	-99.303612	 -6.424756	 -9.874922	 99.303612	 21.175268	 -2.757376	-97.693428	-11.947681	  2.740223	-99.245872	-91.228714	  2.152256	-40.898521	  3.300984	 99.923340	 -2.104819	-98.074753	 -0.610872	 19.518448	 -0.071627	 99.961639	  2.768609	
    24	0.240	  6.451735	  9.885745	-99.300789	 -6.451735	 -9.885745	 99.300789	 21.112103	 -2.755921	-97.707138	-12.042130	  2.744381	-99.234352	-91.234940	  2.148675	-40.884819	  3.297062	 99.923447	 -2.106020	-98.073517	 -0.623323	 19.524248	 -0.082970	 99.961464	  2.774558	
    25	0.250	  6.425603	  9.872180	-99.303833	 -6.425603	 -9.872180	 99.303833	 21.096872	 -2.740804	-97.710846	-12.140534	  2.758816	-99.221954	-91.239876	  2.144254	-40.874046	  3.286141	 99.924065	 -2.093371	-98.077934	 -0.637584	 19.501587	 -0.094875	 99.960999	  2.790974	
    26	0.260	  6.424248	  9.863349	-99.304802	 -6.424248	 -9.863349	 99.304802	 21.176216	 -2.746782	-97.693512	-12.057624	  2.751086	-99.232277	-91.237900	  2.124908	-40.879475	  3.268580	 99.924484	 -2.101005	-98.078239	 -0.617791	 19.500715	 -0.076785	 99.961304	  2.780627	
    27	0.270	  6.433089	  9.863503	-99.304214	 -6.433089	 -9.863503	 99.304214	 21.182436	 -2.756301	-97.691902	-12.047558	  2.735274	-99.233940	-91.237930	  2.128280	-40.879211	  3.275831	 99.924072	 -2.108985	-98.076180	 -0.626144	 19.510763	 -0.087927	 99.961700	  2.766009	
