BTS ASCII format

Type:         	Joint angle tracks
Measure unit: 	deg

Tracks:       	14
Frequency:    	100 Hz
Frames:       	501
Start time:   	0.000

 Frame	 Time	     jRK.X	     jRK.Y	     jRK.Z	    jRHP.X	    jRHP.Y	    jRHP.Z	    jLHP.X	    jLHP.Y	    jLHP.Z	     jLK.X	     jLK.Y	     jLK.Z	    jRSP.X	    jRSP.Y	    jRSP.Z	    jLSP.X	    jLSP.Y	    jLSP.Z	     jLP.X	     jLP.Y	     jLP.Z	     jRP.X	     jRP.Y	     jRP.Z	    jLSH.X	    jLSH.Y	    jLSH.Z	    jRSH.X	    jRSH.Y	    jRSH.Z	     jRF.X	     jRF.Y	     jRF.Z	     jLF.X	     jLF.Y	     jLF.Z	     jRA.X	     jRA.Y	     jRA.Z	     jLA.X	     jLA.Y	     jLA.Z	
    10	0.100	 -3.848976	  1.675628	 -0.107218	  0.513589	 -7.139786	 -2.047566	 -4.900233	  4.244646	 -3.391769	  3.070738	  1.967070	  1.008864	 -0.621680	  4.271561	 -9.302354	  0.621680	 -4.271561	 -9.302354	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.769575	-180.000000	 90.000000	-18.739296	180.000000	 90.000000	  1.625726	-10.766350	  6.327474	  0.978316	-13.125119	 11.347799	
    11	0.110	 -3.852526	  1.675828	 -0.110077	  0.516548	 -7.129005	 -2.041122	 -4.895771	  4.233385	 -3.376812	  3.110892	  1.956654	  1.034645	 -0.613520	  4.268292	 -9.312646	  0.613520	 -4.268292	 -9.312646	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.757473	-180.000000	 90.000000	-18.744343	180.000000	 90.000000	  1.621820	-10.766097	  6.321914	  0.979998	-13.167317	 11.356528	
    12	0.120	 -3.861545	  1.676406	 -0.119290	  0.529144	 -7.117435	 -2.037520	 -4.887168	  4.221346	 -3.362881	  3.147297	  1.948702	  1.056083	 -0.605871	  4.264695	 -9.322899	  0.605871	 -4.264695	 -9.322899	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.744873	180.000000	 90.000000	-18.751659	180.000000	 90.000000	  1.618717	-10.771152	  6.314974	  0.981291	-13.205020	 11.360763	
    13	0.130	 -3.875446	  1.676367	 -0.131156	  0.544325	 -7.104843	 -2.035573	 -4.875058	  4.208773	 -3.351074	  3.165771	  1.947009	  1.066157	 -0.597699	  4.261149	 -9.332742	  0.597699	 -4.261149	 -9.332742	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.732355	-180.000000	 90.000000	-18.761946	-180.000000	 90.000000	  1.616029	-10.775205	  6.306976	  0.982240	-13.223550	 11.353502	
    14	0.140	 -3.893618	  1.677303	 -0.142641	  0.559758	 -7.093373	 -2.035266	 -4.861682	  4.197554	 -3.343135	  3.174627	  1.947930	  1.066669	 -0.589951	  4.258075	 -9.343522	  0.589951	 -4.258075	 -9.343522	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.721006	-180.000000	 90.000000	-18.774483	180.000000	 90.000000	  1.613576	-10.777405	  6.300187	  0.982981	-13.231218	 11.339405	
    15	0.150	 -3.915679	  1.679292	 -0.153076	  0.576331	 -7.084139	 -2.036782	 -4.839035	  4.188515	 -3.339549	  3.177855	  1.949095	  1.061095	 -0.582124	  4.256351	 -9.354876	  0.582124	 -4.256351	 -9.354876	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.711716	-180.000000	 90.000000	-18.789701	180.000000	 90.000000	  1.612286	-10.779123	  6.295099	  0.983347	-13.239867	 11.321196	
    16	0.160	 -3.938699	  1.681783	 -0.164177	  0.593759	 -7.077832	 -2.040615	 -4.799445	  4.182344	 -3.339655	  3.168539	  1.950575	  1.050491	 -0.573099	  4.257454	 -9.366292	  0.573099	 -4.257454	 -9.366292	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.704754	180.000000	 90.000000	-18.806211	180.000000	 90.000000	  1.610950	-10.782231	  6.290795	  0.983440	-13.253199	 11.301081	
    17	0.170	 -3.956183	  1.684975	 -0.173278	  0.607034	 -7.074609	 -2.045703	 -4.758247	  4.179224	 -3.340924	  3.161046	  1.949144	  1.042951	 -0.563671	  4.261427	 -9.377296	  0.563671	 -4.261427	 -9.377296	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.699205	-180.000000	 90.000000	-18.820957	-180.000000	 90.000000	  1.609045	-10.788996	  6.289375	  0.984217	-13.272964	 11.286690	
    18	0.180	 -3.971783	  1.689434	 -0.181666	  0.618745	 -7.074188	 -2.051277	 -4.720170	  4.178371	 -3.341952	  3.166667	  1.942308	  1.043047	 -0.554346	  4.267389	 -9.387009	  0.554346	 -4.267389	 -9.387009	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.694624	180.000000	 90.000000	-18.833939	180.000000	 90.000000	  1.607050	-10.798327	  6.290905	  0.985847	-13.304559	 11.281355	
    19	0.190	 -3.983393	  1.693776	 -0.190069	  0.629875	 -7.074975	 -2.057327	 -4.675457	  4.178401	 -3.342619	  3.166145	  1.936877	  1.042870	 -0.544502	  4.274911	 -9.393791	  0.544502	 -4.274911	 -9.393791	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	-23.691948	-180.000000	 90.000000	-18.844568	180.000000	 90.000000	  1.605877	-10.812123	  6.294989	  0.987586	-13.335550	 11.276929	
